en,fr,position,score,rel_score,ratio_score,index,correctness,freqs
spa,supertourisme,8,0.4157281668165314,0.1332507487748773,0.7572752887397728,7100,no,165022
eds,hrsg,9,0.5539596967925041,0.1335662926664114,0.8057291001151413,6433,no,6949
estimates,estimateurs,8,0.6136847772719725,0.1700497671738861,0.783026321375026,6896,no,243130
paradise,paradisio,3,0.4995749544866052,0.1145392194622618,0.8134887219330021,6542,no,88552
alias,shortname,2,0.5188464829318511,0.1595709279917662,0.7647894564284227,6929,no,24360
dissolved,dissoute,4,0.6571546308765782,0.1149772514351595,0.8510911748768599,6061,yes,54554
worlds,univers,1,0.6011046906354736,0.1176648887798541,0.8362967880811444,6120,no,183793
highlights,marquants,9,0.4560062489628133,0.0264424461968921,0.9451911748084656,6957,no,227178
mutual,réciproque,2,0.5590704523065613,0.0702039780061338,0.8884366269717195,5843,yes,224155
enzyme,enzyme,0,0.7752415918445333,0.0,1.0,6153,yes,63225
voluntary,bénévole,3,0.5289126540346771,0.0769150841416825,0.8730413295812279,7265,no,152096
duchy,margrave,8,0.6130175534084884,0.2051176276490519,0.749286386408769,5944,no,1402
nights,soirs,0,0.6349839499690929,0.0,1.0,5830,yes,312353
tracking,télémétrie,5,0.5389428244521761,0.0242361783726443,0.9569654084206276,7099,no,260366
supporter,fervent,0,0.7352967823707961,0.0,1.0,7110,no,71546
bombers,bombardèrent,7,0.5806578706898737,0.1593778723341612,0.7846348992781218,6869,no,25222
superman,daredevil,6,0.6224443631654923,0.1217878568633279,0.8363577206337403,7259,no,7316
manufacture,fabricant,7,0.7038617802086062,0.1607557880753292,0.8140729566779542,7252,no,157456
beast,monstrueuse,7,0.5644338788144737,0.0652483224628887,0.8963789633397179,7145,no,93519
delay,retarde,0,0.6259713286484736,0.0,1.0,6215,no,283570
madagascar,malgache,7,0.5816993007294127,0.1792579554007258,0.7644309795896482,7012,no,763
altered,altéré,2,0.644373830581557,0.0628511648874823,0.9111298875320452,6270,yes,140529
lessons,enseignements,4,0.55624257869951,0.1633003299399054,0.7730499071296663,6402,yes,407521
eugene,duard,9,0.4319753428639185,0.1694258034357253,0.7182815422315305,5795,no,7147
institutes,biomédicales,5,0.5696940339488037,0.1897693608564823,0.7501270473935928,7325,no,43617
discontinued,commercialisés,4,0.4900971063879492,0.0507742753834074,0.9061250472947536,5968,no,43316
madonna,britney,6,0.5615763565579663,0.2236596653873825,0.7151688675294255,7327,no,3155
soprano,ténor,4,0.748949092978601,0.058800914078769,0.9272040686288812,7199,no,14198
shorts,rightarm,8,0.4901981249804593,0.1839067376375432,0.7271837842508513,6606,no,110397
circulation,circulante,1,0.4882474897713545,0.0731747001065955,0.8696619025291763,6131,no,173975
powell,stowell,5,0.5769747122004086,0.1073454513382988,0.8431356299904978,5755,no,1410
licensing,copyrightée,9,0.5426630480849739,0.1719644162183549,0.759364949140321,6844,no,130623
payment,paiement,0,0.7874741612478016,0.0,1.0,5787,yes,1083253
catholics,catholiques,0,0.8343091203327528,0.0,1.0,5627,yes,2277
shifted,délaissé,5,0.4993428457105451,0.0312450569140292,0.9411123835287718,7220,no,95335
nadu,maharashtra,0,0.6739622941965254,0.0,1.0,5867,no,616
ruth,jeanette,5,0.5535364436797755,0.1258450668751846,0.814765246153981,5684,no,2530
edgar,edwardes,6,0.4835453796171158,0.1641663977721902,0.7465440594057343,6041,no,1556
insufficient,manque,9,0.6319557801008214,0.1029611308590261,0.8599009910867986,7172,no,91949
lucy,franny,5,0.5935721096745663,0.0955429681428434,0.8613541174495113,6174,no,4034
pond,ruisselle,8,0.4826242751313943,0.0537224247973209,0.8998363841812375,6458,no,114161
speedway,karting,7,0.5330170591414436,0.1025968051806835,0.8385862692122024,6468,no,6178
