en,de,position,score,rel_score,ratio_score,index,correctness,freqs
focusing,fokussierten,2,0.7687409143295516,0.020501552024688,0.9740237596192826,5985,no,280834
terror,anschlägen,5,0.6169051573658804,0.1986995584130172,0.756377624394606,6578,no,140627
depot,güterbahnhof,8,0.6284454454450408,0.0873841394941936,0.8779260576361739,6009,no,32021
traveling,reisten,9,0.5881348435011651,0.1230875775832609,0.8269351837986422,5771,no,326384
encountered,bemerkten,2,0.6102677261680298,0.0590609962584169,0.9117608519109872,6290,no,154785
politically,„politisch,1,0.6936926340785279,0.1039256470744585,0.8697050336857498,6903,no,109991
chicken,braten,6,0.6324239306239638,0.0227106846167846,0.9653343235291592,6417,no,338089
saxony,hohenzollernsche,8,0.5435351448887988,0.0540680319129753,0.909525193285728,6734,no,223
prevented,gehindert,3,0.7242767366068908,0.032433383529849,0.9571389589398008,6471,yes,127603
handled,abzuwickeln,1,0.5447422339076977,0.038115744645628,0.934605433831012,5948,no,209643
crashed,abgestürzt,4,0.7318019019800002,0.0789634741418821,0.9026062576579348,6775,yes,68819
heath,highgate,6,0.4519417246213782,0.0854082217305856,0.8410566106679328,6767,no,15116
crazy,verknallt,9,0.5478317325977269,0.1113519199078147,0.8310760294425252,5839,no,425394
executives,geschäftsleitung,7,0.6195641017167937,0.1126482933225364,0.846153528558492,6519,no,186995
ani,sperrprüfung,7,0.6082716562725924,0.0200762035746667,0.9680492210484382,5618,no,2835
marion,marion,0,0.6250769163395365,0.0,1.0,6441,yes,1539
diet,ernährungslage,8,0.5593848483605774,0.0981481045664852,0.8507327973000124,5845,no,1259119
hate,scheiße,2,0.6350653413091636,0.0613299583670292,0.9119322626164388,5605,no,457758
hardy,winterhart,8,0.4658900125167354,0.0556787984747377,0.8932474540245314,6889,no,30773
bigger,kleiner,9,0.6209835315274264,0.107439181639474,0.8525043498817191,6100,no,606587
goalkeeper,torwart,0,0.7730991834640801,0.0,1.0,5609,yes,19782
missionaries,missionieren,8,0.7323598804012397,0.1405530925926527,0.8389838426726691,6962,no,45502
interpreted,interpretierte,5,0.6927074210087341,0.0912469863470646,0.8836067691043007,6302,no,94172
doctorate,promovieren,5,0.7920803356584032,0.0423921006310029,0.949198920434682,6757,no,29468
considerably,erheblich,0,0.8156797862842291,0.0,1.0,6728,yes,266110
egg,befruchtet,7,0.5036768457295597,0.176916462540464,0.7400555362641432,6020,no,233657
provision,sicherstellung,6,0.6220764650988853,0.0583953129636036,0.9141840780967097,6575,no,292202
arrive,zurückkehrt,4,0.6793762082087833,0.0748382737290032,0.9007732209851992,5814,no,373596
neighborhoods,wohngegenden,7,0.7030027956938312,0.092301480992301,0.8839419280166553,7003,no,110790
trace,fußspuren,6,0.4526117490457122,0.1395574330503723,0.7643284431716205,6900,no,137102
iceland,skandinavien,4,0.6607604196996255,0.0875318743976263,0.8830244877728886,5784,no,1304
burton,brown,8,0.5623635220775621,0.0572533098462539,0.9075988467445418,6312,no,2905
cruise,kreuzfahrtschiffe,3,0.7010882389814407,0.0206256850263387,0.971421245537565,5857,no,240158
delegates,parteitagen,8,0.6613554802917936,0.1643948603519969,0.8009145715594527,6771,no,98685
lighting,beleuchtung,0,0.8335511873845546,0.0,1.0,5744,yes,426040
construct,realisieren,8,0.5697236427660335,0.1402778306042444,0.8024260006977659,6781,no,164107
istanbul,edirne,5,0.6618698976737653,0.1847026432053063,0.7818230165916873,5571,no,1139
geneva,genf,0,0.7537178162699647,0.0,1.0,6496,yes,2905
johnston,anderson,5,0.627670999583625,0.085158670406904,0.8805343352107727,6849,no,1985
rod,rod,2,0.4265013976832367,0.0310997068763362,0.9320375179026966,6022,yes,113157
georges,théodore,9,0.6105588988082353,0.1418203152265843,0.8115042088071016,6855,no,1221
crazy,verrückte,2,0.641447570325695,0.0177360821798466,0.9730938682832436,5839,yes,425394
salvador,nicaragua,8,0.6500082599916573,0.1472681924594284,0.8152859124251338,5997,no,1692
aids,hiv,2,0.5941257379893106,0.1699240345114701,0.7776008309572575,6204,no,142028
división,segunda,2,0.7132714839289052,0.0622478973291753,0.9197339243434584,6819,no,0
estonia,weißrusslands,5,0.6676577826862689,0.0959405098956569,0.8743573540856712,5651,no,625
legally,rechtsgültig,1,0.7006701362684548,0.056004287827755,0.9259862814913457,6814,no,179044
tough,hartem,6,0.5583025738742317,0.1343817521725464,0.8059985665628134,6934,no,638893
commands,befehl,5,0.6561882173949681,0.1025426719724229,0.8648497465841674,6491,yes,151670
automobile,automobile,1,0.7669543180667608,0.0047446179803372,0.9938517240873224,6210,no,330119
goddess,gottheit,2,0.7552941473223991,0.0808842357974681,0.9032691619033718,6434,no,55927
robertson,campbell,1,0.7205567889408193,0.0354567340372145,0.9531003970702192,6179,no,1268
roberto,norberto,3,0.7030085007018241,0.066596472569653,0.9134666811123098,6835,no,670
georgian,bulgarische,8,0.5983648450234073,0.0929656282111762,0.8655265002622978,5716,no,633
martha,katharine,7,0.6099512589342284,0.117325672106302,0.8386781333233797,6707,no,2419
hopkins,tufts,4,0.5879036432777779,0.1496512681912537,0.797098133489228,6432,no,1294
minimal,minimalen,1,0.7582170632585854,0.0073077010584206,0.9904539978338384,6077,yes,282593
victories,sieg,0,0.730248495606161,0.0,1.0,6232,no,60590
lock,schleuse,1,0.4888496604998242,0.1762489826886906,0.7350032442650244,5498,yes,237844
arcade,spielhalle,5,0.593282058613631,0.1128194750575923,0.8402220223612719,6479,no,45634
rape,kindesmisshandlung,3,0.693636936316463,0.1338814792221062,0.8382132932534524,6169,no,116601
viii,xv,9,0.6167148115749461,0.1389343325042159,0.8161390989550819,6158,no,10280
streams,fließgewässern,4,0.6185975286629752,0.0263385283384254,0.9591610237131334,5585,no,143285
tyler,danny,8,0.6096416025537674,0.1174565126498198,0.8384585103525787,5981,no,3957
stroke,schlaganfällen,4,0.5207806654917158,0.0191451924707914,0.9645410713555398,5470,no,206192
stamp,briefmarkenserie,8,0.5931551393864818,0.1042796953076603,0.8504810913934463,6892,no,105708
fbi,bundeskriminalamt,8,0.6733860510502252,0.1698467573711393,0.798576673399232,6454,no,4093
seoul,incheon,7,0.6658869125989881,0.1579098643546436,0.8083145397356517,6170,no,1115
fork,forks,1,0.5393603713266673,0.148992716672377,0.7835519019672301,5660,no,85598
administered,beaufsichtigt,3,0.5499343030463115,0.0922347425376541,0.8563699960751313,5989,no,123524
stability,stabilisierende,8,0.6617086161683572,0.196719190594459,0.7708378164771955,6370,no,288878
circulation,druckausgaben,7,0.5436436463194929,0.0820695241524268,0.8688384262544304,6131,no,173975
kitchen,waschküche,1,0.7220381403923297,0.0016693383482084,0.9976933520832012,5862,no,756155
hopkins,hopkinson,2,0.6204769588500726,0.117077952618959,0.841262052765986,6432,no,1294
pet,hauskatze,7,0.5220526232864107,0.1505508875110797,0.7761669615245168,6423,no,535006
realized,überlegte,5,0.5989281179921363,0.0176431324533745,0.9713850873834512,5730,no,468071
divorced,verheiratete,7,0.7435894804368315,0.1262326975179609,0.8548752828827944,6564,no,65435
generic,generischen,2,0.5898121894756574,0.0166971421877454,0.9724700984534695,5468,no,426181
rochester,cleveland,4,0.6403719260503286,0.1246338165208037,0.8370812013751453,6050,no,4242
demands,fordert,3,0.6655875910122728,0.0451176521810744,0.9365170686255933,5494,no,414318
bag,kiste,7,0.6011400115288419,0.026978235036795,0.9570491142642265,6943,no,708102
speaks,spricht,1,0.6396742262917309,0.0210085709112528,0.9682017285750544,6243,yes,217215
cultures,kultur,5,0.6547464543765655,0.1924466932920334,0.7728420091432162,5425,no,219700
gravity,gravitativ,8,0.6269038255070493,0.1314523854780046,0.8266614243097491,5882,no,116319
pictured,abgebildete,2,0.4764362963983182,0.0227219591109493,0.9544794484311048,5501,no,81732
nephew,onkel,1,0.8486159667578612,0.022828352443768,0.973804003376048,5841,no,46102
boxer,boxer,0,0.7872613602064928,0.0,1.0,6622,yes,27671
accidentally,unglücklicherweise,5,0.6694032469044398,0.1649003322655404,0.8023497245096394,6430,no,95770
separately,gesondert,2,0.6384427069486533,0.1042920641420344,0.8595837057838506,6516,yes,145540
aids,kranker,9,0.5277447645468272,0.2363050079539534,0.6907204000853072,6204,no,142028
songwriters,sänger,6,0.7023106650075988,0.100113711318336,0.8752359545995758,6386,no,13440
tasmania,tasmaniens,3,0.7385363115041785,0.0708306423500255,0.9124863672618084,6252,no,932
efficient,effizienteste,7,0.7954938367576774,0.0889194649686362,0.899459376294916,5472,no,657927
addresses,adressierten,4,0.6915339653910727,0.0231961312572187,0.967545607263502,5508,no,311956
intensity,bewölkung,9,0.567014689814419,0.2930945602118625,0.6592356608152898,6997,no,195730
actively,engagierten,7,0.5665924430405409,0.1265153638610214,0.8174665432978024,5403,no,271962
grows,immergrünen,5,0.5703566755049874,0.241158741865241,0.7028291309033505,5588,no,200977
coordinates,coordinates,8,0.6327042457553369,0.1338337238732163,0.8254049646907,6616,no,57496
invented,erfindet,8,0.6911721188057317,0.1671060193030137,0.8053008554182222,5398,no,130359
simpson,bennett,1,0.6186273396631351,0.1193981923011211,0.8382194285564313,5661,no,4937
reformed,reformiert,1,0.666715082827797,2.1988165838204843e-05,0.9999670212340144,5782,yes,23373
enabled,erleichterten,9,0.6173202562094969,0.1740641323191831,0.7800510916789775,6263,no,207899
sebastian,michael,5,0.4961654587567746,0.1866519740628939,0.7266443926422299,6699,no,1725
activated,aktivierten,2,0.678785479781653,0.0611095101561522,0.9174078605920968,6700,no,95196
observer,beobachtern,3,0.5844525222971464,0.1644048724125508,0.7804590385646333,6119,yes,57335
consequence,konsequenz,0,0.6456869355462387,0.0,1.0,6680,yes,216076
rescued,retteten,1,0.6891473010300605,0.1289384188278345,0.8423900873734458,6011,no,59230
encountered,auftauchten,4,0.6044853502673556,0.0648433721590912,0.9031217845784036,6290,no,154785
fraud,geldwäsche,8,0.6965755847170132,0.0774101281017981,0.8999850684324974,6477,no,275541
helicopter,hubschraubers,4,0.7876255753546922,0.0465628721920582,0.9441818304616972,5615,no,91704
transformation,transformation,0,0.7361539092780103,0.0,1.0,6328,yes,192718
arguing,ablehne,7,0.7048280943059719,0.0949010101510505,0.8813335545472191,5484,no,102469
lecturer,lecturer,9,0.7625206579285311,0.0592484817953096,0.927901305937066,6691,yes,41066
viii,viii,1,0.7541664555475418,0.0014826885316202,0.9980378611644865,6158,yes,10280
enjoy,angenehme,9,0.5830615823221239,0.1873288892220588,0.7568390366425822,5723,no,1830928
yeah,sorry,0,0.7366223105863009,0.0,1.0,5802,no,206356
stolen,gestohlenen,0,0.8389514287433254,0.0,1.0,5933,no,182823
cyclone,wirbelsturm,0,0.7924668115688092,0.0,1.0,6444,yes,12960
lithuanian,polnischer,6,0.7154150660098317,0.0756715966513111,0.9043447447378788,6145,no,294
reflected,reflektierte,7,0.7073017396431532,0.0598709337611124,0.9219589854583322,6207,no,180001
abdul,ahmad,2,0.752577975959572,0.0055830002269664,0.9926361282071674,6190,no,863
joel,aaron,8,0.554751939207127,0.095200780103371,0.8535266069747892,6378,no,2747
cornwall,cornwall,0,0.7660748967103594,0.0,1.0,5565,yes,1322
package,programmpaket,2,0.6224971240592931,0.0790940179469485,0.8872647996655509,5525,no,752780
rivalry,rivalität,0,0.8069133850750903,0.0,1.0,6654,yes,40461
accidents,unfällen,1,0.8253374641110534,0.0426738448808894,0.9508372247702068,6149,yes,226715
bacteria,organismen,9,0.7169969457438581,0.1365304011032351,0.8400398046909983,6650,no,272230
collapse,zusammenbruchs,1,0.7352493317151318,0.018455280208328,0.9755139083450344,5550,no,175909
simpson,nicholl,7,0.5920468349632673,0.1459786970009889,0.8022037305234326,5661,no,4937
anybody,irgendjemanden,0,0.8353005518655692,0.0,1.0,6952,no,303197
dragons,monstern,3,0.5181330632278451,0.1077687140066281,0.8278184885769126,6482,no,31852
dimensions,abmessung,4,0.6147116755028981,0.2142163795775555,0.7415742195421721,5817,yes,200430
passion,passion,1,0.6363519137042208,0.0766523238113146,0.8924938734187474,5848,yes,412537
agrees,verspricht,2,0.7430784773525778,0.0129156013595798,0.9829157374068568,6298,no,118945
walt,teddy,7,0.5019723918015344,0.214473436008507,0.7006424942635404,6750,no,4780
fallen,umgestürzt,5,0.5449626446237826,0.0693633550675406,0.8870903150731155,5516,no,224570
prisoner,inhaftierte,8,0.7112318494900013,0.080796869972741,0.8979874492082205,5529,no,64611
argues,argumentierten,2,0.7440017650063441,0.0522698665266242,0.9343567390112903,6464,no,112654
estimate,abschätzungen,3,0.7033010755992798,0.1362691879068595,0.8376917408463419,6687,no,268772
algeria,marokko,3,0.781238719893337,0.0597053002835555,0.9290020514433333,6135,no,578
owns,eigentümer,1,0.6417043382864733,0.0191441429593615,0.9710309647329886,5938,no,159938
vale,leeds,6,0.4551775165780372,0.1928307093184154,0.7024255223741118,6729,no,4054
bars,bars,0,0.5340714677192648,0.0,1.0,5564,yes,313990
respected,angesehenen,7,0.6438476764552952,0.0584864395963274,0.916725617822574,6389,no,187855
administered,ausgeübt,8,0.5368990757081249,0.1052699698758408,0.8360712485290971,5989,no,123524
concentrated,vorwiegend,7,0.5508410753690154,0.2727980996492811,0.668789309780923,6916,no,128634
saxon,germanischer,4,0.5918959963961185,0.0180876021690148,0.970347395878246,6514,no,1671
belfast,glasgower,8,0.6745102226752333,0.1488627178404324,0.8192037769091585,6218,no,1350
cylinder,zylinderbank,7,0.6827185548273572,0.1107632334995821,0.8604086002614791,5536,no,77002
cox,lowe,0,0.5673849480169352,0.0,1.0,6127,no,3786
supplied,geliefert,0,0.7382086323616484,0.0,1.0,5631,yes,255570
keyboard,keyboard,2,0.7246196287787388,0.0264593136938647,0.964771594305708,5896,yes,230620
holmes,howard,4,0.5715392955415357,0.15372512409207,0.7880426504725959,5806,no,4121
pack,stick,7,0.44284702601433,0.218267744518019,0.6698489366040583,5783,no,429780
illustrate,beschreiben,9,0.5878107061336187,0.1075245224229042,0.8453630450363933,6276,no,119205
firms,firmen,0,0.7664561101537039,0.0,1.0,6558,yes,543789
slovakia,tschechischen,8,0.672703569994717,0.1727070844628203,0.7957121979097379,6013,no,576
collect,deponieren,6,0.6109167314114284,0.1128192223697246,0.8441154929773746,5687,no,370651
outbreak,ausbruch,0,0.7103397885713612,0.0,1.0,5713,yes,69050
palomar,teleskop,7,0.407007884422943,0.1493309461823114,0.7315827370527944,6321,no,150
enjoy,spaß,5,0.5974011886550238,0.1729892828891589,0.775452463031615,5723,no,1830928
generic,generischer,0,0.6065093316634028,0.0,1.0,5468,no,426181
lover,geliebte,0,0.814537313524999,0.0,1.0,6027,yes,173040
notre,saints,1,0.5168347493311055,0.1850337992612493,0.736369723885837,6005,no,1690
copa,copa,0,0.7803377550515679,0.0,1.0,6483,yes,360
aims,hauptziele,1,0.6748566799063933,0.0638769960198126,0.9135317664519284,5726,no,271185
andrews,campbell,8,0.5613886986202916,0.1990318830412643,0.738260789040757,5931,no,1368
confidence,selbstvertrauen,1,0.6367440999200527,0.1167718074011159,0.8450307335697099,5707,yes,610930
butterfly,schmetterling,1,0.5620823898639109,0.0383003519804224,0.936206773927634,6132,yes,57621
ambassadors,botschafter,1,0.6576895104886381,0.007549331951386,0.9886516969999888,5677,yes,23830
