en,ru,position,score,rel_score,ratio_score,index,correctness,freqs
synthesis,синтезируют,8,0.6221358024250105,0.1628418740329539,0.7925522229272286,6168,no,67281
withdrawal,немедленное,2,0.5093267105794044,0.0239011094638511,0.9551765520000208,7477,no,146052
barnes,барнетт,8,0.5441833657886359,0.0234295005058575,0.9587227459116444,6704,no,3001
screenwriter,телережиссёр,6,0.7610421797207652,0.0951460466448792,0.8888725122409636,6552,no,13265
grants,ассигнований,8,0.5377421038665887,0.0654734800506336,0.8914592364715523,5930,no,273240
technically,действительно,2,0.6017655985987722,0.0675412189490024,0.8990878067005773,6143,no,114018
commanders,командовавших,1,0.7078700024809246,0.0102441757705072,0.98573461424275,6555,no,31867
lecturer,профессором,8,0.655316013331694,0.0952913421670084,0.8730476840268945,6691,no,41066
mit,mathematik,9,0.5320343622529009,0.1527621411162941,0.7769233044200645,5999,no,10874
casino,resort,7,0.5024949583218,0.166447176030449,0.7511785138312099,6756,no,453078
raja,джахана,8,0.5469351275672937,0.052593687668634,0.9122749627172844,7146,no,1622
floating,плавающих,3,0.5177974296831662,0.0333425232970361,0.9395026197670088,7266,yes,150063
coached,тренировал,1,0.7299215020237229,0.0196020734331197,0.9738472890313395,6315,yes,36035
wheels,тормоза,8,0.6375496931305471,0.0883206242268909,0.8783245131879398,5920,no,219741
fourteen,тринадцать,9,0.7258886201548588,0.0596575506964929,0.9240559588854748,6226,no,60641
bats,грызунами,7,0.4437214772631771,0.0395442398186037,0.918172884148718,6910,no,46784
fluid,жидкости,0,0.7786805127254344,0.0,1.0,6099,no,225545
depot,вокзал,3,0.5732751318044791,0.0783989075522135,0.8796961320883583,6009,no,32021
canterbury,кентербери,1,0.5971379433932982,0.0118410118138527,0.9805559589332198,5941,yes,987
holmes,холмс,0,0.62639760707629,0.0,1.0,5806,yes,4121
curtis,смит,2,0.585093531250038,0.0151731185784227,0.9747227026809522,6010,no,1980
thunder,суперсоникс,2,0.4884865646366837,0.0140774742101245,0.971988695724376,6391,no,37707
ana,хулия,6,0.4937985783599826,0.0462708285093668,0.9143242925430872,7157,no,10889
