en,fi,position,score,rel_score,ratio_score,index,correctness,freqs
decent,hyvä,1,0.6902944976713037,0.0113621511598952,0.983806679265675,7631,no,340417
export,viennin,2,0.6969714885479579,0.0432973946648456,0.9415112594265306,6445,yes,205304
drove,ajettua,3,0.6289882076482695,0.0929512085400635,0.8712479102043996,6604,no,210245
armament,aseistukseen,9,0.7583470780860515,0.058849967647615,0.9279855844378628,6981,no,5492
naples,venetsiassa,8,0.7012050919553948,0.1004907603841643,0.8746522635848671,6698,no,1879
deceased,edesmenneet,3,0.616777072249125,0.0142568943631278,0.977407088813829,6242,no,91387
cent,neljäsosan,6,0.532602795155865,0.0499697295994839,0.9142257358936232,6679,no,533892
fraser,macdonald,1,0.6621439068142787,0.052110233189422,0.9270424485195814,6414,no,1085
fossil,fossiilien,2,0.690670387545804,0.0089797026884588,0.9871654376754928,5972,no,100663
paste,jauhetaan,9,0.5010065149244382,0.0240656072657652,0.9541670443950028,6731,no,125302
thunder,lightnin,4,0.5770742549642618,0.0618227353717337,0.9032352064466272,6391,no,37707
chocolate,suklaan,3,0.6190870444474469,0.0680542320821679,0.900960349193584,7586,no,351231
deliver,vastaanottamaan,1,0.6703492465239352,0.003771429118781,0.9944054095133852,6666,no,709685
cry,oi,3,0.5134832300902643,0.0351088867368121,0.9360018387798328,7321,no,235647
yuan,xiang,3,0.7715821479251445,0.0414214021557233,0.9490513883345242,7693,no,260630
motto,motto,0,0.7003133772955829,0.0,1.0,6914,yes,50679
magnitude,voimakkuuden,6,0.6407216291674903,0.0933466392482568,0.872836569479136,6194,no,103281
precisely,täsmälleen,5,0.6357323149621193,0.0995063729820241,0.8646611303055047,7086,no,342738
quarterback,flyersissa,3,0.6860629173278465,0.0107348392099617,0.984594038787811,5943,no,88293
uci,maantiepyöräilyn,0,0.6802933261759044,0.0,1.0,7611,no,553
mineral,mineraalit,6,0.647006040494431,0.0307228914724894,0.9546678767522516,6741,no,165233
brilliant,loistavana,7,0.5710225325605116,0.1686057989241649,0.7720398317007168,7596,no,309313
vandal,vandalismin,2,0.6970261345284665,0.0361382119009509,0.9507092617406347,7210,no,1865
corridor,kulkuyhteys,8,0.6002122455960216,0.0398374036516931,0.937758885270047,7509,no,69410
georges,jean,3,0.6803814514785109,0.1106337991439815,0.8601369580966766,6855,no,1221
patricia,julianna,7,0.6409606851138875,0.0919623434062258,0.874526601255916,7341,no,1959
marina,marina,0,0.6277880987661206,0.0,1.0,7435,yes,28908
rap,dubstep,7,0.6045137175241034,0.107461866473693,0.8490652363803172,6495,no,69727
beast,hirviöt,8,0.5550758364566728,0.0927069050027807,0.8568858058893136,7145,no,93519
chicken,maitoa,2,0.5470944355727169,0.0283326002616129,0.9507624798676124,6417,no,338089
circular,nelikulmainen,6,0.6181875768264035,0.0857501693247643,0.8781850102603393,5904,no,101655
legally,oikeudellisesti,6,0.6302450872953402,0.0968958697807396,0.8667440352000396,6814,yes,179044
oriental,itämaisessa,5,0.471861234546927,0.0326538755712165,0.9352767143811216,7251,no,19605
rpm,huippunopeuden,5,0.5797626050484481,0.0971110553786669,0.8565300128278167,7222,no,41601
sally,betty,3,0.6454313371460919,0.0212367595979584,0.9681449289358872,7534,no,4034
licensing,lisensoida,5,0.6608380455681357,0.0257943020134306,0.962433604964458,6844,no,130623
bengali,intialaiseen,6,0.6441814659716164,0.0261199006352585,0.9610326012499724,7263,no,924
expelled,vangittiin,4,0.6499619043134769,0.0666604695723924,0.9069796422752928,7358,no,35528
quarterly,aikakauskirjan,6,0.5836814192261847,0.0297590478776607,0.95148828700826,7219,no,91996
latvia,latviaa,8,0.7285594903867179,0.0615272379932863,0.9221259694876258,6885,no,314
nigerian,nigerialaisen,1,0.6620914971784908,0.0163020034866022,0.9759696938861888,6051,no,2582
finalist,voittaja,8,0.6180303701397917,0.0526719741637623,0.9214674369172572,7239,no,25560
inferior,heikompia,4,0.4776347556575486,0.057823581353234,0.8920110541633612,7541,no,80728
glory,taivaaseen,6,0.4814003282581761,0.0570983652745243,0.8939674952599359,6236,no,200255
strictly,rajoittua,2,0.579057781670195,0.0153845440728275,0.9741193663260812,6097,no,151931
copa,copa,0,0.8059430117623865,0.0,1.0,6483,yes,360
lebanese,jordanialainen,8,0.6795262912498045,0.0463969998539129,0.936085533523288,7063,no,1405
sheep,hevosia,4,0.6205332051073484,0.032761216926422,0.9498522935119618,6084,no,141415
cleared,raivasi,4,0.5035455253927811,0.0478586351087407,0.91320588683043,7103,no,137770
millions,miljoonilla,1,0.7283136560918906,0.0720903833536406,0.9099325093316868,5851,no,528626
lang,lung,6,0.446327446227476,0.1761563343804146,0.7170105633782329,6478,no,12310
escort,joukkojenkuljetussaattuetta,2,0.7001050637665233,0.0185323269966694,0.974211852549186,7272,no,66007
artifacts,esineitä,0,0.7242122327176946,0.0,1.0,7710,yes,65704
optical,mittalaitteen,9,0.6558806925196974,0.111670999427488,0.854510125377755,5885,no,124269
amanda,jennifer,1,0.6976180044863589,0.024426925561408,0.9661697983811172,7568,no,3684
ritual,rituaali,2,0.736532212433606,0.012811922591704,0.9829024849960676,6898,yes,103185
alphabet,aakkoston,2,0.7560519712700877,0.023597158233565,0.9697336181872124,7377,no,42784
privacy,yksityisyys,1,0.6848285675175836,0.0241593384000087,0.9659241882712498,6634,yes,359031
locked,lukitsee,0,0.6759917707198015,0.0,1.0,7713,no,193347
dozens,useita,5,0.6564883991358967,0.1196315368959777,0.8458594717877926,6801,no,183094
richardson,anderson,6,0.6917208616951456,0.0605648760638459,0.91949219156505,6092,no,6934
curtis,bennett,7,0.6345674415171019,0.0364156594072051,0.9457279037921504,6010,no,1980
paradise,paratiisiin,5,0.5132829480087595,0.0735850218754392,0.8746140091953577,6542,no,88552
revolt,kapinansa,5,0.7419656629527414,0.0505305603469259,0.9362387367140566,6820,no,34363
girlfriend,naisystävänsä,9,0.8105977468019421,0.0524304206503832,0.939248308887578,5970,no,208460
cliff,vuoren,5,0.4647780673029306,0.0794229348344366,0.8540558828034118,6142,no,55687
fluid,viskositeetti,8,0.6202355724046601,0.0276496812289833,0.9573231817302352,6099,no,225545
announcement,tiedotteen,5,0.6507053600919579,0.0733935797296776,0.8986415036766158,6279,no,257805
kirk,kirk,0,0.5768530103912191,0.0,1.0,7622,yes,2246
predominantly,valtaosaltaan,3,0.6439073934858051,0.0742560169339262,0.8966028958638713,6502,no,67836
adolf,wilhelm,7,0.6220046807495696,0.1507522772343127,0.8049163120735601,7702,no,2475
sculptures,veistoksista,6,0.7509426404601858,0.0830610700911298,0.900406833878206,6648,no,53343
performers,esittäjät,9,0.6692573393322439,0.0766414131836795,0.8972495758637921,5947,no,107213
eng,v/,8,0.3792815941018503,0.0583580954466696,0.8666526440806287,7551,no,3032
assembled,koottiin,0,0.7161136546026085,0.0,1.0,7413,no,112077
intense,voimakkasti,7,0.5987166431723343,0.0693013470776053,0.8962582623685386,6251,no,322515
presenter,televisiojuontaja,0,0.8106536031497256,0.0,1.0,6323,no,41622
handful,muutamia,0,0.6240556148156474,0.0,1.0,7711,no,220137
complexity,ymmärtäminen,8,0.6260782252167618,0.0740490619883826,0.8942348579442162,7671,no,167249
smoke,savu,4,0.5884995290153843,0.048259359619954,0.9242109368533818,6508,yes,396488
arrow,nuolten,8,0.4597916108255009,0.1716294099160942,0.7281854669416645,7025,no,80144
likes,innostuu,8,0.5313570490047215,0.0535000802071381,0.9085245309752252,6921,no,408795
lou,lou,0,0.6879533077549533,0.0,1.0,7028,yes,1949
mud,pohjaan,5,0.5343023247309451,0.0646680565106305,0.8920346338719063,7664,no,111031
hopkins,hopkinsin,0,0.7195598656831552,0.0,1.0,6432,no,1294
porter,buckley,0,0.6495990309192015,0.0,1.0,5994,no,10956
roland,marcel,4,0.5218811559280455,0.0889264108926485,0.8544117399273258,7357,no,1240
hide,piilottanut,4,0.6462218800999195,0.078189650616567,0.8920645968469983,6278,no,266447
tomorrow,hetkenä,7,0.5018020691545976,0.1865687520293349,0.7289705689319393,6566,no,412818
angry,vihaista,5,0.6708177091530231,0.0190521874863877,0.9723829267240136,6245,no,265826
gardner,smith,7,0.6464362109109911,0.0493244188446422,0.929107200472142,7709,no,1566
bet,bet,4,0.4119828958497285,0.0097838570188034,0.9768026831127364,6970,no,398333
sally,susan,7,0.6357347612737043,0.030933335470346,0.9536000963276602,7534,no,4034
tang,tang,0,0.7928550939592449,0.0,1.0,5974,yes,9674
leon,victor,1,0.5062303017227676,0.1013751899713464,0.8331562315398202,5909,no,2590
unofficial,virallinen,4,0.6630809355173632,0.0674944350562015,0.9076146859382728,6783,no,34310
explosion,räjähdykset,9,0.7490125342101823,0.0577901537009241,0.9283713917084876,5990,no,116122
deutsche,süddeutsche,1,0.751544493077783,0.0567777591104181,0.9297585103506484,7462,no,2193
hanging,seisoo,5,0.5499176197189986,0.0736252555944572,0.8819243094431226,7198,no,269631
deeply,kiihkeästi,2,0.5509575260856678,0.1488518526851596,0.7872965736089321,6238,no,306771
bots,bugzilla,7,0.6179351467215648,0.0583919504898418,0.9136631509655606,6954,no,23643
slovak,slovakialainen,0,0.7443533983217908,0.0,1.0,6960,no,330
arctic,arktika,4,0.6924542930202718,0.0331365484882781,0.95433163348729,6219,no,17087
receiver,syötön,0,0.5795306862246483,0.0,1.0,6284,no,169656
jets,ässät,7,0.5452941248218676,0.0414684463446729,0.9293267014931956,6380,no,46885
southampton,southampton,2,0.7751731948709766,0.0037559751554675,0.9951780273483144,7235,yes,1535
pump,jäähdytysjärjestelmä,8,0.5564519062478979,0.0508008060104039,0.9163432208948368,7052,no,255719
tanzania,kenian,5,0.7015906184515883,0.0617129153435599,0.9191502297431756,6912,no,1062
complaints,syytökset,0,0.6724398319414562,0.0,1.0,6086,no,241048
prestigious,arvostetuin,2,0.6666720601240578,0.007339667558917,0.9891104749999702,6079,no,139260
permanently,tilapäisesti,1,0.6553180469862049,0.0868189936565523,0.8830148760916726,5995,no,140804
thames,thamesin,1,0.656452880593257,0.0218506236963741,0.9677863617714054,6951,no,877
handled,toimisivat,0,0.4818375929781723,0.0,1.0,5948,no,209643
bend,yellowhead,4,0.4233940730392375,0.0300258421681243,0.9337791721071786,7237,no,104791
colored,värinen,6,0.6744695908524905,0.0401374504969616,0.9438328365458496,5987,no,211958
grain,sahatavaran,8,0.5418598282982203,0.1124231657887417,0.8281734863892865,6518,no,179534
satisfy,perustelemaan,7,0.5690150514672647,0.0495133427811324,0.9199497658611157,6437,no,216025
construct,rakenneta,5,0.6231646838925582,0.1041669600354293,0.8567820320962924,6781,no,164107
stefan,klaus,7,0.5251108824444594,0.2221350118899704,0.7027283608057484,7368,no,1228
kosovo,hertsegovinaa,9,0.7070369123632834,0.0613401461732452,0.9201692118579448,6694,no,455
kumar,intialainen,9,0.5499784057708264,0.2111234120739891,0.7226081883869103,6331,no,2562
collector,keräilijä,0,0.5883731353687919,0.0,1.0,6852,yes,96798
encountered,havaitsivat,9,0.5333846158811852,0.0899153475422482,0.855743056604088,6290,no,154785
thunder,thunder,0,0.6388969903359956,0.0,1.0,6391,yes,37707
paragraphs,väliotsikot,2,0.6814004096722504,0.023239075512507,0.9670199073411084,7000,no,78042
diploma,loppututkinnon,7,0.7604628108196246,0.0443527893247145,0.9448907435234108,7223,no,80053
module,moduulit,7,0.6632529612297582,0.064718893339553,0.9110969841301864,6487,no,233073
stan,stan,1,0.59348726253509,0.0066748284717094,0.9888782904289872,6786,yes,3580
guild,academyn,8,0.41073359630566,0.1588625965548904,0.7210961053705929,6118,no,38482
quest,seikkailujen,7,0.5010564117501659,0.0942119222752587,0.8417320107754382,6073,no,180078
tension,jännitys,4,0.6244322657904449,0.034982412817566,0.9469492961676071,7465,yes,227922
meyer,herrmann,8,0.5905518381302541,0.0669834551068382,0.8981294908489642,7616,no,2007
dust,kuumeni,7,0.5593972991622702,0.1116985812450408,0.8335579393256786,6513,no,297720
surveillance,tiedustelun,8,0.5762400870393881,0.0849329692882925,0.8715419987619711,7650,no,123831
chang,xiao,3,0.7333311993963423,0.1028939228637488,0.876954279266743,7180,no,3806
lit,seisoi,6,0.4316493600390169,0.0493479128566519,0.8974050048983214,6897,no,124561
zimbabwe,zimbabwen,1,0.7482136047006112,0.0182484450936996,0.9761913259781136,6521,yes,1329
roller,huvipuistolaite,5,0.4330072836131582,0.0664342124164786,0.8669829941152177,6856,no,79654
barrel,piippua,2,0.5861065251747459,0.0437356452417976,0.9305609447953076,7410,no,117841
commitment,tavoitteen,9,0.5775617953675087,0.0304366771480092,0.9499395499760364,6253,no,605347
suburban,esikaupunkeihin,9,0.5751410104976831,0.0443568271071498,0.9283987377927794,6459,no,61497
android,androidille,1,0.7153018848003194,0.0661569187596904,0.915341770470425,7603,no,48165
trails,vaellusreittejä,0,0.6410706254410091,0.0,1.0,6937,no,153999
crop,viljelypinta,4,0.5833590324267055,0.0177436905972507,0.970481433675782,6843,no,180772
coin,kolikon,1,0.6307359796680045,0.0084074840946321,0.9868457012058964,6172,yes,126345
inches,senttimetrin,6,0.6619197044554053,0.0650038140502304,0.9105768180621514,5975,no,405253
nigerian,liberialainen,7,0.5852867902676446,0.0931067103974484,0.8627541238143244,6051,no,2582
gibson,smith,8,0.6284871327938784,0.0681135226039696,0.9022201284535568,6001,no,2531
operators,operaattorit,0,0.6931614551980004,0.0,1.0,5905,yes,233328
followers,kannattajineen,4,0.6338765233716991,0.0259215351085829,0.9607129260606068,6305,no,209040
crop,viljelylle,3,0.5838380899340745,0.0172646330898817,0.971278398136297,6843,no,180772
prohibited,kiellettiin,3,0.7497871625199366,0.029890701162121,0.9616627551525432,7090,no,108953
zhang,zhangin,7,0.7741966754830533,0.08081797274112,0.9054776746702816,5838,no,4199
generations,sukupolvet,1,0.6889303496908037,0.0055701372291627,0.9919796496416212,5992,yes,242446
loose,löysä,2,0.470773423564073,0.0264670720418432,0.946772090616651,6504,yes,321042
automated,automatisoitua,3,0.6094522340547477,0.0338847786197719,0.9473296608897036,6692,no,168907
explaining,selittääkseen,6,0.6634403991942088,0.0928087178658765,0.8772775851604694,5973,no,169624
pet,koira,7,0.5021948728209736,0.0673777643213616,0.8817047029165411,6423,no,535006
raiders,seahawksin,6,0.5336993529073599,0.0314494215217959,0.9443519601479056,6615,no,8322
atp,tennisturnauksessa,2,0.5402869584942323,0.2608868708591245,0.6743692051577727,6688,no,498
tactics,taktiikat,2,0.7264505324334787,0.0172789552445159,0.9767671505153536,6629,no,206429
settle,lähtemään,6,0.5620872759450664,0.0882172221700071,0.8643447455373485,6633,no,262045
prevented,estivät,2,0.6731261985948409,0.0717482061562819,0.9036774445481792,6471,no,127603
browns,packersin,4,0.6543500494721748,0.0505932852635504,0.9282307062559614,7573,no,16316
flute,alttoviulun,8,0.7015461815333066,0.0490889011788786,0.9346035080035012,6644,no,34151
