en,ru,position,score,rel_score,ratio_score,index,correctness,freqs
inspector,замначальника,9,0.5632885188285583,0.1316319057098146,0.8105798864708055,5915,no,52830
nadu,тамилнад,0,0.7116634894707815,0.0,1.0,5867,no,616
confederation,конфедераты,8,0.5390592529402876,0.2351454600178335,0.6962748274685933,6754,no,6666
surfaces,поверхности,2,0.763680245509541,0.0192957696772474,0.975355861095382,7323,yes,177010
likes,нравятся,6,0.5754072366051074,0.1007901612519567,0.8509456534861408,6921,no,408795
santo,эспириту,1,0.6598416494436715,0.1027561661751358,0.8652551003024384,7355,no,890
crawford,кэмпбелл,4,0.6168508902147586,0.0821507136296537,0.8824742129662705,6909,no,1813
lens,линз,6,0.6628400081935272,0.0546309521309766,0.9238562183669876,6489,no,262820
holdings,холдингов,4,0.5091903457467071,0.0274660106509656,0.9488201149142584,6864,no,64579
imo,обсуждаемо,1,0.5482941453393921,0.0598395703599184,0.9016012945588664,7140,no,8686
cabin,кроватью,3,0.5151235666813644,0.0394077250582575,0.9289350742775372,7298,no,127549
boyfriend,девушкой,8,0.6969975444726679,0.0876705742637821,0.8882705029421127,7493,no,199839
researcher,исследовательница,2,0.6469473712453053,0.0477858505464212,0.9312169779024227,7069,no,108541
catalogue,каталогов,8,0.6117879771471746,0.1364965576101132,0.8175873597943768,6062,no,68576
sank,мель,6,0.6668574467585655,0.1401611692007146,0.8263222601945693,7459,no,33690
div,addclass,4,0.4940809941188105,0.1419877157422293,0.7767729908090449,6628,no,22178
auxiliary,вспомогательная,5,0.7515220614583797,0.0344694959846492,0.9561452083572188,6262,yes,31278
carpenter,фостер,3,0.5153993255308403,0.0398298857230473,0.92826406659495,7229,no,23924
bach,малер,9,0.6265229729972002,0.1229455566124293,0.8359563453898896,6928,no,1550
findings,опровергнуты,6,0.5355085805570021,0.0868750176807304,0.8604156376763215,5952,no,335564
glory,милость,8,0.5016978002536912,0.1232958153264959,0.802724680296071,6236,no,200255
emmy,тэфи,8,0.5858699473145522,0.1637546578856882,0.7815511167193533,6638,no,950
marco,андреа,5,0.5890766615893439,0.150589004096989,0.796409362928509,6202,no,1293
coordinates,координатами,8,0.5645851340292655,0.1165120068974511,0.8289348172289753,6616,no,57496
specimens,экземпляры,2,0.6635555841821342,0.0256591192629453,0.9627704993310694,7554,yes,46609
paste,перенесите,8,0.523825277377617,0.042662901010004,0.924688806161085,6731,no,125302
personalities,телеведущие,5,0.5370307068037767,0.064403544200287,0.8929167334704191,6548,no,95186
chaos,хаосом,3,0.5863270026209412,0.1201580805207782,0.8299212773376069,7179,no,119668
chilean,эквадорской,6,0.6507572789599687,0.0435598968769894,0.9372622507509184,6293,no,679
precise,точную,5,0.6208907619711884,0.0844529967291497,0.8802668972576403,7031,no,245627
loyal,верных,8,0.56882350180008,0.1023572265228371,0.8474967736654213,7322,no,143758
venus,венере,4,0.6519220538025445,0.1135691515513477,0.8516388552121329,7440,no,4730
mentioning,подтверждает,3,0.5957257171522606,0.0149713568229886,0.9754848066889618,7488,no,77986
problematic,некорректных,8,0.6360022372625894,0.0274733596038428,0.9585917556974236,6307,no,94165
brad,джесси,8,0.5900564764526264,0.0981584456312527,0.8573723956260145,6249,no,8647
satisfy,удовлетворяющего,7,0.6161509598912482,0.1020604366606159,0.85789638377975,6437,no,216025
violated,нарушены,1,0.7366835046926022,0.0011210988946322,0.9984804934949152,7584,yes,76507
thriller,мелодрама,5,0.6744750908759318,0.1204184112901265,0.8485100067342476,6187,no,45823
supplement,дополнениями,5,0.4889821993034123,0.0204540505082472,0.9598496366997652,6488,no,303802
norton,стаффорд,8,0.4893605608645415,0.1600163837422647,0.753584747547276,6851,no,2774
hurt,обидеться,4,0.570436023241939,0.0239870812592853,0.9596464520345104,6363,no,496153
distant,отдаленные,3,0.5150455743580622,0.0094417676002335,0.9819981020609944,6581,no,166675
lancaster,вустер,9,0.5934976303103161,0.110093583586261,0.8435262103735649,6510,no,7852
duration,продолжительности,3,0.6795214031623118,0.0849461478122945,0.8888819444278593,6198,no,250646
xbox,gamecube,2,0.7821089157854285,0.0532169723984168,0.9362919632311164,6919,no,43268
circular,прямоугольные,8,0.5725568526693412,0.0280020943343292,0.953373279219237,5904,no,101655
willie,джонни,3,0.6202704716541028,0.0338954446403269,0.9481852481212564,6589,no,1672
strictly,формально,1,0.5463041269152942,0.1781546215573155,0.7540858993932749,6097,no,151931
performs,исполняющая,5,0.5537459679894572,0.0748606298584781,0.8809102066144913,7218,no,138111
creatures,монстров,6,0.631652443909462,0.121970227480072,0.8381547794267089,6983,no,191788
priority,приоритете,7,0.5002556006602774,0.0789004143400684,0.8637665632463105,6677,no,344855
preference,предпочтениями,5,0.568988462919974,0.1188976720693141,0.8271550100785712,6776,no,198338
ain,айн,0,0.5328713164904413,0.0,1.0,7055,yes,5145
encountered,сталкивались,0,0.549002751282029,0.0,1.0,6290,no,154785
bats,хищники,4,0.4628323665351172,0.0139415313687725,0.9707586102551634,6910,no,46784
objection,возражения,1,0.7483733283960352,0.0079383070313221,0.989503920527632,7582,yes,55542
grandmother,тётка,5,0.6952757443351795,0.1111733592475598,0.8621446055880527,7590,no,110601
voluntary,добровольной,4,0.6976393674748482,0.0153148557332013,0.9785191598076384,7265,no,152096
shoulder,запястье,3,0.7025658241319681,0.0228198615915138,0.968541064373563,6625,no,341486
civilization,цивилизаций,4,0.7498528149804917,0.0864514531685514,0.8966267942648544,7299,no,114925
empress,императрице,6,0.6427914917527904,0.0920121064796848,0.8747800001238232,7120,no,3962
extraordinary,потрясающее,5,0.5400604297729071,0.0794509126072487,0.8717522873721743,6401,no,264752
balls,шариками,3,0.5727317262116544,0.1430404046858063,0.8001592985934544,6035,no,222970
tan,хэ,8,0.4665235440774322,0.0647279826870657,0.878159441571338,6946,no,72754
barely,даже,3,0.5590322681853717,0.0961026813570886,0.8533085718839977,6710,no,254289
earn,заработок,8,0.549447921212707,0.1389019913875682,0.798210199718252,5893,no,516153
gathered,собравший,9,0.5884809911442807,0.0947734598527646,0.8612911197073571,6205,no,248810
guatemala,гватемалу,2,0.8044090236683779,0.0322548587825928,0.9614482476665496,6759,no,1227
tasmania,квинсленд,5,0.6377814873052017,0.1114445520566056,0.8512537656172036,6252,no,932
proximity,удалённость,4,0.5058439952429836,0.0754612553562408,0.8701865237266421,6978,no,102062
karen,рэйчел,3,0.5713401467708592,0.1016803494088914,0.8489193865772928,6269,no,15155
mandatory,обязательных,0,0.6907972593284437,0.0,1.0,6967,yes,155901
doug,джефф,9,0.5653260770997921,0.0656268389598808,0.8959877396720453,5881,no,3130
springfield,спрингфилде,1,0.6507380858310363,0.0843489568329509,0.885253103459331,6308,no,9676
rivalry,противоборства,7,0.5121767611089344,0.150259354514665,0.7731715542513636,6654,no,40461
disappeared,исчезло,3,0.6319278360904317,0.1146818997654608,0.8463964582058487,6499,no,133595
sociology,политологии,1,0.7474458755855712,0.0829794988994713,0.9000759111546561,7577,no,32293
ellen,сьюзан,7,0.6390549314178458,0.0900556610631351,0.8764855949264182,6539,no,2468
plymouth,плимут,0,0.7431752304890804,0.0,1.0,6161,yes,2021
varieties,разновидностями,9,0.5757403178063696,0.1405178288157567,0.8038167810328737,6536,no,245288
delay,задержками,6,0.5632614154589777,0.1737260075923042,0.7642754785786678,6215,no,283570
drake,роджерс,6,0.5293600944896163,0.1443104838006573,0.7857847908885872,7336,no,11569
silk,шелк,0,0.7146212048811538,0.0,1.0,7547,yes,124116
remembered,вспоминает,8,0.5400666261984348,0.0593778902489984,0.9009451440128314,6030,no,189553
operas,операх,4,0.6504987717100503,0.0889077995055976,0.8797578991495496,7431,no,14478
cyclone,циклона,0,0.7497914774932528,0.0,1.0,6444,yes,12960
listening,слушают,2,0.6302166729608052,0.0534398908824318,0.921832256561665,7426,no,421294
segments,сегмента,2,0.5431827484881071,0.1193261170834552,0.8198875165534432,6407,no,129120
edu,edu,0,0.7400584630160496,0.0,1.0,6136,yes,46819
amanda,рэйчел,7,0.6193970184005375,0.0786325808318821,0.8873506497169323,7568,no,3684
sailors,моряки,0,0.741630704675693,0.0,1.0,6506,yes,43357
wrestler,полутяжёлой,8,0.5920446628028065,0.0708032040800924,0.8931833266462019,6122,no,16374
surnames,фамилию,8,0.6094793703295389,0.1280661851273792,0.8263616610799848,7114,no,7029
doug,мэтт,4,0.584326128527207,0.0466267875324659,0.9261010031879208,5881,no,3130
bulletin,ежегодника,7,0.5059931349815913,0.1357989493904531,0.7884066309055145,7524,no,46252
sanctions,посредничеств,8,0.5703868217476064,0.1718145541643045,0.7685068234302268,6559,no,98592
circular,прямоугольную,4,0.5775427385202606,0.0230162084834097,0.9616753549368584,5904,no,101655
diplomat,советник,5,0.6315465224942158,0.2242524218953319,0.7379613244845797,6717,no,20902
objections,возражениям,3,0.6719439605030013,0.1367747604817023,0.8308747442928438,7434,no,55876
reasonably,разумно,1,0.5847198803036879,0.0399613916166521,0.936029150523744,7217,yes,212854
millions,миллиарды,2,0.7334190577835926,0.0957734997423135,0.8844978782394326,5851,no,528626
servant,советник,9,0.5180098547744796,0.1008002743107638,0.8371062954968562,6359,no,89915
joshua,джейкоб,2,0.5642662046709451,0.1055805030997406,0.842381097234735,7045,no,3272
rap,рэпером,6,0.6470958669627759,0.1163762265653766,0.84756977032706,6495,no,69727
teenage,подростков,5,0.6207347741371085,0.0393017329491645,0.9404552134204488,7208,no,110938
ranch,резервации,7,0.4827732715818206,0.2367188017416076,0.670991786402632,6592,no,70407
patron,покровительница,2,0.6137603238516174,0.0913154692880841,0.8704884351773637,6490,no,47895
maharashtra,пенджаб,9,0.6618754779982772,0.0848586640547404,0.8863602729862652,6713,no,742
cites,ссылкой,3,0.5647551649126854,0.0790629360061087,0.8771967798151716,6636,no,41017
porter,уоррен,6,0.5977726790211462,0.1002519681728717,0.8563776099083699,5994,no,10956
