en,fr,position,score,rel_score,ratio_score,index,correctness,freqs
researcher,chercheur,0,0.8428518887853844,0.0,1.0,7069,yes,108541
occasional,occasionnées,8,0.5510721304627725,0.1260909214770759,0.8137953316917291,6096,no,167904
endings,substantifs,5,0.4277686883799093,0.0422085726632036,0.9101901811812728,6561,no,23479
descriptions,décrivant,6,0.606444495484912,0.1163178125287748,0.8390649163091497,7317,no,142569
hanging,pendus,6,0.5338806905552301,0.0187569182278951,0.966059280204985,7198,no,269631
derek,sean,6,0.559430830537502,0.0990846015383445,0.8495333644254943,6573,no,2146
busy,modestement,8,0.4528026652742849,0.0178659719652303,0.9620412949755592,6550,no,607913
performers,artistes,4,0.6525805971135579,0.0596935117651202,0.9161930624446046,5947,no,107213
complicated,difficile,9,0.62349897906185,0.1355036352571202,0.8214714512166688,5901,no,388795
loved,aima,8,0.5788472502267634,0.1022733567301017,0.849845452207,6254,no,845888
governance,governance,6,0.6178021328076608,0.220040580815599,0.7373724480290206,7092,no,152407
boxer,boxe,7,0.5359426578084043,0.1959631171677789,0.7322563588541767,6622,no,27671
chilean,paraguayen,8,0.670605593668235,0.16247518115318,0.8049706750368723,6293,no,679
disorders,fibromyalgie,5,0.7062672905356523,0.0429461347388762,0.9426783700210126,6653,no,256984
feeding,nourrissant,1,0.6678632479407804,0.023492771029494,0.9660192861783644,7053,no,225102
allmusic,hiphopdx,8,0.514528482769458,0.2046332561519217,0.7154558632960135,5758,no,251
fraud,escroquerie,1,0.7531329629743637,0.0293405080894593,0.9625028717592572,6477,yes,275541
promised,promesse,6,0.6902869086237751,0.1095974529448096,0.8629833783349791,6320,no,254327
circles,symbolisme,9,0.4773188365323897,0.1839636512956126,0.7218077679633623,6583,no,160387
joy,joie,0,0.6301386864618346,0.0,1.0,5860,yes,370645
burma,myanmar,7,0.5925555461603923,0.1380473279667314,0.8110501164785845,6660,no,574
legends,mythes,8,0.5176244777568239,0.1866155390817904,0.7350114526017402,6152,no,57188
automobile,voiturette,5,0.6550209336558651,0.1324339349653195,0.8318202855267016,6210,no,330119
reveal,déceler,4,0.6335029496943093,0.1202776404631212,0.8404341501576729,6067,no,308012
philosophers,philosophiques,3,0.6972035022765375,0.1441983208979426,0.8286213353402249,7075,no,39041
kilometres,milles,8,0.5526554621359805,0.2399621621414015,0.697253562384294,7051,no,58331
blade,épée,6,0.5474798493197499,0.1023136203713943,0.8425444004230677,6498,no,130603
fires,incendies,0,0.7014344141707192,0.0,1.0,7015,yes,121769
cohen,levy,8,0.5952637688044565,0.11145111139112,0.8422969226850339,6523,no,1771
claire,adrianne,7,0.5769236416043921,0.0385596444271809,0.937350622994492,6939,no,3036
wizard,sorcier,1,0.5929547260780246,0.0244505810162929,0.9603978444380982,6068,yes,52393
sheet,pliée,7,0.4578982644810503,0.0822440184273513,0.8477363816353951,5705,no,311451
entrepreneur,pdg,4,0.5852980855928955,0.2064324979157006,0.7392642115694407,6804,no,108276
pump,pompe,0,0.6475838255682196,0.0,1.0,7052,yes,255719
innovative,novateur,8,0.7170761852410141,0.0791188192092082,0.9006288424732829,6686,no,519640
licence,permission,6,0.5021761067681871,0.1528088050696242,0.7666987402185181,6265,no,102241
buddhism,theravada,9,0.7166362840066521,0.1555497868028333,0.821655272872604,6387,no,2144
variables,variances,5,0.6570849611242116,0.1181361019153461,0.847609788294261,7276,no,170150
