en,es,position,score,rel_score,ratio_score,index,correctness,freqs
instances,generalizaciones,8,0.5890379491982318,0.102948766764796,0.8512272499024439,6110,no,282587
reconstruction,reconstructor,6,0.6203845881099306,0.2269638116039787,0.7321481793314195,5769,no,78398
surrender,capituló,3,0.6498382405990872,0.1732937731619519,0.7894702547527689,5982,no,91229
fights,pelean,3,0.6346906309723083,0.0750575042531612,0.8942476907962325,6827,no,104969
protocol,tcpdump,7,0.5745396926872496,0.2427328270488165,0.7029964654541354,5517,no,174112
cent,porcentual,5,0.4937311491347498,0.0712763331486212,0.8738488685838789,6679,no,533892
frankfurt,fráncfort,1,0.7294853738052858,0.0244338285930918,0.9675909188738492,5709,yes,1685
landmark,arquitectónica,4,0.4921430371140709,0.0268368246263076,0.9482892755485514,5524,no,78541
listen,escucharla,1,0.7545215112790964,0.0314654709580555,0.95996693117169,6016,no,625063
spotted,avista,2,0.519416555473492,0.0383568766128912,0.9312321555556794,6802,no,115863
fraser,kenney,9,0.5668107494258305,0.1607781049340584,0.7790261574642918,6414,no,1085
graph,vértices,4,0.6113052163530617,0.0999673553532121,0.8594528183289845,5888,no,97838
churchill,hitler,3,0.5265191655534776,0.2092666875237298,0.7155875087180141,6945,no,2825
cornell,berkeley,9,0.5356518228963889,0.1579522853379699,0.7722731404517574,6357,no,1558
suffolk,northamptonshire,1,0.6287913808310206,0.0271119611967904,0.9586647003307373,7005,no,1212
morrison,bunnell,7,0.5756873920882111,0.1511714039456447,0.7920209471626131,6620,no,2258
lawsuit,demandaron,5,0.5624568500935794,0.0197465547549366,0.9660830654879552,6880,no,182626
counsel,letrado,5,0.585131748147447,0.0752247385569615,0.8860846526512066,6931,yes,178674
edwin,frederick,7,0.519206693219237,0.1706676619603397,0.7526105142494905,6612,no,1085
finite,euclídeo,3,0.7288865756715694,0.0374893566653921,0.9510822886216256,6992,no,45438
telugu,bollywood,5,0.6154097060245192,0.0609059579188508,0.9099444813037026,6886,no,1902
zimbabwe,zimbabue,1,0.7324105722227305,0.003649379344116,0.9950420080098809,6521,yes,1329
terror,terrorismo,0,0.6137307900746827,0.0,1.0,6578,yes,140627
relegated,descendido,1,0.6651594064198938,0.0066065656481673,0.9901653761535008,5499,no,23626
construct,construirle,7,0.6524608028206876,0.1385557369513288,0.8248383820251561,6781,no,164107
harper,ballantine,6,0.5487417927393414,0.135498004945708,0.8019729261523066,6098,no,4030
retain,perder,5,0.5766747488296087,0.1372196410289443,0.8077871979689709,6044,no,261676
furniture,muebles,0,0.7966158111665224,0.0,1.0,6683,yes,569320
lock,mordazas,9,0.4483620874483273,0.0603849544960848,0.8813065246231294,5498,no,237844
loose,amarra,4,0.4921487496530686,0.0281759639567017,0.9458492683131846,6504,no,321042
hardy,moore,2,0.5087792811874994,0.1453371854260741,0.7778114558428726,6889,no,30773
dancers,coreografía,5,0.6936809289522581,0.1652957453648929,0.8075666658861304,6972,no,79326
observation,observando,7,0.5375995062101036,0.2721553986883478,0.6639039824989045,5511,no,169813
mechanics,astrodinámica,3,0.6408572444728914,0.1185892491781729,0.8438477889231523,5907,no,100360
luxembourg,luxembourg,4,0.6254340547026906,0.1458606411839862,0.8108885722125893,5986,no,651
