en,fr,position,score,rel_score,ratio_score,index,correctness,freqs
diploma,diplôme,0,0.8384593289358075,0.0,1.0,7223,yes,80053
bacteria,bactéries,0,0.8709321978120232,0.0,1.0,6650,yes,272230
cdp,km²,9,0.4581848980527133,0.1315364155687752,0.7769515658828611,6023,no,412
evaluation,évaluer,8,0.6071852964166081,0.0919042287495434,0.8685372538979172,5887,no,359796
warrior,guerriers,2,0.7106611677226309,0.0783024742016326,0.9007527469698672,5815,no,67574
monk,bénédictin,3,0.5341093951460535,0.2485825093819685,0.6824005615186879,6400,no,37008
pub,taverne,0,0.5570014155022327,0.0,1.0,6403,no,103484
ritual,sacrificielle,8,0.6684509196572694,0.2039897635777667,0.7661849481601813,6898,no,103185
configuration,configure,4,0.7216663020710166,0.1242570253716237,0.8531107709876351,6248,no,215656
holmes,mason,4,0.5859888376690823,0.1320369007840705,0.8161111869492055,5806,no,4121
rendered,altérées,6,0.5024144193930087,0.100976231753334,0.8326519783468705,6833,no,106816
sailors,canonniers,8,0.5973804792658002,0.0896532032734607,0.8695068297931121,6506,no,43357
endangered,menacées,0,0.8044078252953071,0.0,1.0,6337,yes,71370
farms,fermes,0,0.7699087691471289,0.0,1.0,5836,yes,144871
drove,menaient,2,0.6067863009860254,0.039131313793571,0.9394174846788724,6604,no,210245
luxembourg,autriche,8,0.5881810838930075,0.2145654229572859,0.732710860618792,5986,no,651
observations,observa,4,0.6637860454019333,0.2593328622643587,0.7190688435577925,6317,no,156403
georgian,arménienne,7,0.6373728079431324,0.1438561682617752,0.815859149310351,5716,no,633
involve,impliquent,0,0.7567168494530323,0.0,1.0,5751,no,359878
antarctica,arctiques,6,0.6084037514208006,0.1942840522532835,0.7579581359477479,5767,no,1133
appreciated,appréciera,6,0.6392356362568997,0.0405825094945521,0.9403038742814178,6697,no,219010
santos,reinaldo,2,0.5952842046413502,0.0894312274017243,0.8693892043080192,6300,no,1714
clause,alinéa,2,0.6176025338899596,0.1449661622998148,0.8098975698528565,6746,no,105152
crop,monoculture,2,0.6303850184676156,0.0029188037951224,0.995391147672702,6843,no,180772
madonna,madones,4,0.5988230342840248,0.1759263089856331,0.7729248685217659,7327,no,3155
motto,hymne,5,0.4721837445533281,0.3430391842664234,0.5792081256067437,6914,no,50679
rochester,philadelphie,2,0.6538975927769015,0.1211813711752591,0.8436528704670938,6050,no,4242
automated,automatisées,2,0.7921595573925468,0.0113105110351731,0.985922921737077,6692,no,168907
suite,partitions,7,0.4117888864150091,0.0273844252008129,0.9376455160718687,5880,no,186778
ace,aces,4,0.436331503172616,0.1323017214595039,0.7673338177784157,5922,no,40444
viola,violoncello,5,0.6737078721520029,0.0618046463303134,0.915970639822904,6618,no,9546
airfield,escadrilles,7,0.6284722235725393,0.1593492959594018,0.7977342684748265,6165,no,11374
emerging,innovatrices,9,0.6185416734256073,0.1345072835671283,0.8213830823107747,6003,no,283499
