en,de,position,score,rel_score,ratio_score,index,correctness,freqs
jin,wei,1,0.7796322238920352,0.1079807258949763,0.878347058905701,6452,no,3374
frontier,kriegsschauplatz,7,0.505105120928284,0.1358878091235474,0.7880041998083201,5886,no,43612
monk,mönches,2,0.7001398145721334,0.1156037174762714,0.8582842364854795,6400,no,37008
activated,inaktiviert,3,0.6558740095913147,0.0864316076416182,0.8835633118825015,6700,no,95196
chambers,chambers,2,0.5246920373291989,0.0685170273507814,0.8844976730290788,6295,yes,54131
convert,umzustellen,9,0.5398383787062516,0.201753029842633,0.7279458371323166,5809,no,245782
naturally,„natürlichen,6,0.5569205520806946,0.1602996201273138,0.7764987289275187,6112,no,438055
trek,startrek,3,0.5037034992975796,0.2719737311054863,0.6493725476972422,5718,no,54245
coin,goldmünze,2,0.7132491824452138,0.088916815809781,0.8891540952830116,6172,no,126345
landmarks,stadtkerne,9,0.603669605765596,0.1082600715025309,0.8479343185720883,6652,no,36399
psychological,sozialpsychologische,7,0.7394891763859238,0.1087752055519586,0.871767331190473,5423,no,257412
religions,volksreligion,9,0.716057575257119,0.1699851395187595,0.8081524325136439,5928,no,109776
ammunition,geschütze,9,0.6935975355686081,0.1791720235042571,0.7947086700702648,7014,no,49304
confusing,unpassend,9,0.7363291700618164,0.1262495019838303,0.8536371161549547,6374,no,152052
playwright,theaterregisseur,4,0.7826377239665158,0.0956878981866059,0.891056464967927,6597,no,20874
innocent,unschuldiges,4,0.6856601016945754,0.064587145018788,0.9139121865468652,6631,no,186939
reflected,widerspiegelte,2,0.7582422041639043,0.016349066791765,0.978893298433903,6207,no,180001
pale,bräunlichen,2,0.7374807560500379,0.0038621978287101,0.9947902683791584,6234,no,104942
variants,abwandlungen,2,0.6746732817922952,0.1951085028780277,0.7756810888469221,6349,no,59912
seeds,samen,1,0.641066847243859,0.0603568097590074,0.913950992162272,5743,yes,242701
norton,norton,0,0.7503127596809409,0.0,1.0,6851,yes,2774
kumar,mukherjee,4,0.6955038526126012,0.0884724259227821,0.8871491034294233,6331,no,2562
cartoon,cartoons,1,0.7342093639672385,0.051947084938527,0.933922713461384,5491,yes,109555
macdonald,macdonald,0,0.8155243997685244,0.0,1.0,6684,yes,664
