et,sk,position,score,rel_score,ratio_score,index,freqs,correctness,note
prillid,okuliare,0,0.8143130755656662,0.0,1.0,12013,0.0,yes,1
matused,pohreb,0,0.779025042405306,0.0,1.0,39007,0.0,yes,1
süles,náručí,0,0.793704460566049,0.0,1.0,10366,0.0,no,meaning
teie,Vaše,0,0.7339734780156799,0.0,1.0,359,7.0,yes,1
maantee,križovatky,0,0.7749225962187358,0.0,1.0,2810,219004.0,no,meaning
vahendusel,prostredníctvom,0,0.7459508659236345,0.0,1.0,2371,0.0,yes,1
põhi,spodok,0,0.7205460393929846,0.0,1.0,8120,317683.0,yes,near_equivalent
jutumärgid,úvodzovky,0,0.7904889282391777,0.0,1.0,121976,0.0,yes,1
üheksa,deväť,0,0.8522259955406903,0.0,1.0,2253,166919.0,yes,1
elama,bývať,0,0.7641399995428209,0.0,1.0,1542,1552401.0,yes,near_equivalent
kontoritarbed,vreckové,0,0.7270335149909077,0.0,1.0,300027,0.0,no,meaning
tegelema,zaoberať,0,0.7877920462545719,0.0,1.0,2658,817278.0,yes,1
laul,pieseň,0,0.8758002319760028,0.0,1.0,4021,392297.0,yes,1
lastevanemad,rodičia,0,0.8235424077423978,0.0,1.0,86554,0.0,yes,1
selts,spolok,0,0.7179966477914932,0.0,1.0,13880,185095.0,yes,1
paiknema,nachádzať,0,0.7088307063175803,0.0,1.0,39885,116486.0,no,meaning
kuivõrd,jednak,0,0.7667950415651146,0.0,1.0,3346,101438.0,no,meaning
läbirääkimised,rokovania,0,0.7589100446716812,0.0,1.0,4758,0.0,yes,1
samuti,takisto,0,0.8336035937655477,0.0,1.0,190,1933240.0,yes,1
näitleja,herec,0,0.8427051634805338,0.0,1.0,3168,214001.0,yes,1
madalale,nízkemu,0,0.7049351669472188,0.0,1.0,17153,26.0,yes,not_basic_form
prillid,okuliare,0,0.8498388032554407,0.0,1.0,12013,0.0,yes,1
esindus,centrála,0,0.6714971847661874,0.0,1.0,11812,104355.0,no,meaning
laupäev,sobota,0,0.8497457605605324,0.0,1.0,14506,339416.0,yes,1
võimalik,možné,0,0.848820880153146,0.0,1.0,135,2337813.0,yes,not_basic_form
neli,päť,0,0.8235071488039736,0.0,1.0,605,863991.0,no,meaning
lugu,príbeh,0,0.7345412261217218,0.0,1.0,502,1104562.0,yes,1
dressid,tepláky,0,0.8014783284668785,0.0,1.0,76903,0.0,no,meaning
põhjendama,zdôvodňovať,0,0.7255626854866912,0.0,1.0,30840,121083.0,yes,1
kell,11.00,0,0.8189191374354945,0.0,1.0,174,1860327.0,no,number
kilo,kilogramov,0,0.8224537081167791,0.0,1.0,3095,106652.0,yes,not_basic_form
raadio,rádio,0,0.8101242186156334,0.0,1.0,5077,148117.0,yes,1
organism,organizmus,0,0.8700034012659223,0.0,1.0,6776,187605.0,yes,1
vangi,doživotie,0,0.7669791436340319,0.0,1.0,5051,0.0,no,meaning
nemad,oni,0,0.9016605265871422,0.0,1.0,1309,0.0,yes,1
pood,predajňa,0,0.8077587229823864,0.0,1.0,8431,513985.0,yes,1
nemad,oni,0,0.9051286042644856,0.0,1.0,1309,0.0,yes,1
jälgima,dohliadať,0,0.7192493235557997,0.0,1.0,6357,463215.0,no,meaning
eeldama,chápať,0,0.6641914253574421,0.0,1.0,70948,262727.0,no,meaning
mahtuma,zmestil,0,0.6695369054555419,0.0,1.0,27540,213662.0,yes,not_basic_form
kalad,krevetky,0,0.7539521186065163,0.0,1.0,8778,0.0,no,meaning
ahi,sporák,0,0.8170499099316568,0.0,1.0,13669,169140.0,no,meaning
samuti,takisto,0,0.8650293978915244,0.0,1.0,190,1933240.0,yes,1
olud,počasie,0,0.6498783944570107,0.0,1.0,17371,0.0,no,meaning
lõplik,konečný,0,0.7979631399494274,0.0,1.0,6906,122888.0,yes,1
kiire,rýchla,0,0.7613731230212322,0.0,1.0,954,532068.0,yes,not_basic_form
laul,pieseň,0,0.8095129516729159,0.0,1.0,4021,392297.0,yes,1
linn,mesto,0,0.8638343394651709,0.0,1.0,1069,1549647.0,yes,1
ammu,dávno,0,0.8717704528750656,0.0,1.0,991,270403.0,yes,1
hommik,ráno,0,0.7933583848445716,0.0,1.0,8406,659630.0,yes,1
õpingud,vysokoškolské,0,0.8016988226543267,0.0,1.0,18935,3.0,no,meaning
meenutama,pripomínať,0,0.7674788079676464,0.0,1.0,17352,397439.0,yes,1
laekuma,vyplácať,0,0.6570944312110647,0.0,1.0,36316,135172.0,no,meaning
pidu,žúr,0,0.745509723714387,0.0,1.0,3266,237563.0,yes,1
soodne,výhodný,0,0.7885925651083,0.0,1.0,7644,137496.0,yes,1
peamiselt,prevažne,0,0.8383337770105352,0.0,1.0,844,307417.0,yes,1
põhi,spodok,0,0.6826926513697521,0.0,1.0,8120,317683.0,yes,near_equivalent
seoses,súvislosti,0,0.7778435841997293,0.0,1.0,693,441101.0,yes,not_basic_form
sisemine,vnútorný,0,0.8095302424709812,0.0,1.0,7566,148597.0,yes,1
tellimus,objednávka,0,0.7797217900291545,0.0,1.0,13520,182512.0,yes,1
sõbralik,priateľský,0,0.8157309209921697,0.0,1.0,4672,132673.0,yes,1
hetk,okamih,0,0.8347827022716738,0.0,1.0,2329,1585458.0,yes,1
selts,spolok,0,0.7443298829334017,0.0,1.0,13880,185095.0,yes,1
nõu,poradiť,0,0.7006485052128993,0.0,1.0,1498,282856.0,no,pos_tag
juur,koreň,0,0.7663334427367459,0.0,1.0,29104,128780.0,yes,1
ahi,piecka,0,0.8041245278714817,0.0,1.0,13669,169140.0,yes,1
märkmed,zápisky,0,0.788470891191813,0.0,1.0,46834,0.0,yes,near_equivalent
võistlus,pretek,0,0.7762624238401117,0.0,1.0,3683,524195.0,yes,1
pulmad,zásnuby,0,0.85281197253513,0.0,1.0,19294,0.0,no,meaning
organism,organizmus,0,0.865125648998507,0.0,1.0,6776,187605.0,yes,1
ripsmed,mihalnice,0,0.8446470108811285,0.0,1.0,37263,0.0,yes,1
süles,náručí,0,0.7698768097228348,0.0,1.0,10366,0.0,no,meaning
võistlus,pretek,0,0.7677157467086801,0.0,1.0,3683,524195.0,yes,1
vuntsid,strapaté,0,0.7705356469564356,0.0,1.0,60033,0.0,no,meaning
õpingud,bakalársky,0,0.7897175658692738,0.0,1.0,18935,3.0,no,meaning
ettevõte,firma,0,0.8198524156173135,0.0,1.0,1543,1428160.0,yes,1
laekuma,vyplatiť,0,0.6816214382723178,0.0,1.0,36316,135172.0,no,meaning
õnnelik,šťastná,0,0.8550238287746327,0.0,1.0,2381,251656.0,yes,not_basic_form
selge,jasný,0,0.8373166039264185,0.0,1.0,643,764054.0,yes,1
tegelema,zaoberať,0,0.818669405812517,0.0,1.0,2658,817278.0,yes,1
ujumisriided,plavky,0,0.7631971876292313,0.0,1.0,132856,0.0,yes,1
pulmad,zásnuby,0,0.8147822163983807,0.0,1.0,19294,0.0,no,meaning
võistlus,súťaž,0,0.7787552666108406,0.0,1.0,3683,524195.0,yes,1
