en,cs,position,score,rel_score,ratio_score,index,correctness,freqs
allmusic,remixy,3,0.5028874500774048,0.098291598178211,0.8365019565079413,5758,no,251
emily,elizabeth,1,0.6164685342197294,0.0108052801591274,0.9827742209041086,6060,no,6218
tenor,basklarinet,4,0.6503878288641304,0.0485930367853076,0.9304801616562725,6826,no,22287
jeffrey,mcdaniel,6,0.5277274042926965,0.012891387196293,0.9761543856794412,7112,no,2050
counted,napočítáno,1,0.5467283179832838,0.0053043648252097,0.9903912123495596,7197,no,108524
shrine,chrámu,4,0.6047160835879349,0.0678645179357692,0.8990983121100655,6587,no,28783
treasure,amulet,7,0.5005158657055424,0.1762075923790272,0.7396165445811889,6831,no,139897
nacional,brasileira,5,0.6288680321848711,0.0638452064436394,0.9078331365948118,6036,no,426
bassist,baskytarista,0,0.8325276438801978,0.0,1.0,7258,no,21674
aggressive,agresivitu,8,0.5942798861310976,0.129423091692388,0.8211654564672042,6451,no,250253
questioned,popřel,7,0.6061134301652856,0.0594527766073887,0.9106733845522672,7240,no,113976
burke,buckley,3,0.540059302974454,0.0083500693426417,0.984774021444306,6582,no,1716
ahmad,mahdi,7,0.5693516384933712,0.0327945222014061,0.9455372726057628,6299,no,716
jam,grandmaster,7,0.4627773179901998,0.0473693855828561,0.9071455617549186,6416,no,79059
compensation,uhrazení,9,0.5749526224537822,0.0629054934463984,0.9013801159249614,6861,no,347995
edu,//web,3,0.5083182526778367,0.0181958797559048,0.9654408521347816,6136,no,46819
confederation,confederation,3,0.5109971985786423,0.0854005158255959,0.8568060980734888,6754,no,6666
missionary,misionářů,9,0.6194794893866901,0.0477419401331772,0.9284466325256784,5673,no,52248
exile,exilu,0,0.7314807601596216,0.0,1.0,5636,yes,44353
guild,writers,1,0.4703537136180066,0.126730305984869,0.7877513016188942,6118,no,38482
outline,pojednání,7,0.4587665719757126,0.0136451799345863,0.9711159176726464,6863,no,145869
explaining,vysvětlení,9,0.6492590553283989,0.0277062216187281,0.959072905860588,5973,no,169624
expertise,znalostech,5,0.5834550720500166,0.0488245575352949,0.9227801193479582,7082,no,567356
threw,odhodil,0,0.5474059727001497,0.0,1.0,6667,no,174050
catalogue,catalogus,4,0.5928930997448776,0.0825028145024963,0.8778452567418428,6062,no,68576
marco,gianluca,5,0.5851432619112604,0.0801761907039213,0.8794921892201235,6202,no,1293
rainfall,napršelo,9,0.6168738455013667,0.1029093831794023,0.8570272561531943,7281,no,54676
canvas,akvarel,9,0.5302400166315852,0.0654741199749102,0.8900913778076752,7288,no,116161
uganda,keňu,6,0.5318918025778129,0.0276017624631705,0.9506665238211476,5800,no,2343
fever,chřipku,1,0.5784570967314933,0.01187321694075,0.9798871637356876,7108,no,131504
chaos,zmatků,5,0.5069942328872694,0.1576522916476135,0.7628028044561912,7179,no,119668
nationwide,celosvětovou,8,0.4361102845797662,0.1159873412775871,0.7899151602083595,6297,no,172153
everyday,každodenních,6,0.534151776818838,0.064620036622246,0.8920790271491223,7250,no,515693
dinner,oběd,1,0.6315581166314606,0.0073772556557066,0.988453831207844,6185,no,619310
discusses,pojednává,1,0.602578121594979,0.0043012418582057,0.9929125257551492,7113,no,126888
pull,roztáhnout,6,0.592275203354847,0.0597765332665453,0.9083254749442466,6160,no,544378
prestigious,oceněnou,9,0.5631132108567665,0.2367285505931224,0.7040307695812232,6079,no,139260
jeremy,steve,2,0.5531579930226072,0.0108727708203295,0.9807230890275388,6015,no,4991
warrior,bojovní,5,0.5359056457847089,0.0781683811377444,0.8727052802908797,5815,no,67574
unused,náhrady,6,0.4570947679238069,0.0304936277104548,0.937460308769678,6718,no,59608
cliff,cliff,0,0.508547707452121,0.0,1.0,6142,yes,55687
lok,sněmovny,3,0.4768584697217087,0.0192045010248256,0.9612861629322494,6842,no,1457
honest,upřímná,7,0.5644683284163652,0.0347616404989785,0.9419894826657284,6685,yes,443985
reliability,důvěryhodnost,5,0.6202608305944683,0.0693876863436074,0.8993868838409496,6825,no,167753
adoption,zavedení,3,0.553293853359951,0.0293773223096982,0.9495816447828648,6837,no,212733
cyclone,hurikánů,3,0.5364877585989444,0.023213022003849,0.9585260145986418,6444,no,12960
fiji,indonésie,1,0.5528239889465685,0.0272791470816342,0.9529753497483108,7171,no,784
criterion,nesplňující,9,0.5593552685123278,0.0322473813346206,0.9454914859780238,5921,no,40529
sail,doplout,5,0.5896117964255718,0.0422531331409621,0.93312948517344,6588,no,82136
collecting,sbírat,2,0.5250610544629922,0.0893600427018982,0.8545622161832817,6846,no,194650
assists,odchytaných,7,0.5277249162950264,0.1905163921537734,0.7347459831219739,5871,no,165616
alexandria,alexandrijského,3,0.529161508615738,0.0748628295304607,0.8760599121548297,6543,no,7066
charleston,jacksonville,2,0.5663414558019646,0.0414671523435954,0.9317759706133272,6745,no,8332
impressed,nepřesvědčil,7,0.5395357088374451,0.0387434432945886,0.93300217870254,6447,no,263477
thermal,vysokoteplotní,2,0.6429692175064955,0.0348087806274767,0.9486427993778042,6643,no,122186
