en,ru,position,score,rel_score,ratio_score,index,correctness,freqs
creature,человекоподобных,7,0.6678763327048307,0.0944394645851773,0.8761150366804615,7600,no,143604
recalled,вспоминал,0,0.7133777178969751,0.0,1.0,6586,no,87805
predominantly,преимущественно,0,0.7677336753948663,0.0,1.0,6502,yes,67836
tracking,слежение,3,0.6376934890468404,0.0655184861318247,0.906829678042416,7099,no,260366
cornell,гарвардская,9,0.6144121116187589,0.0293038171465445,0.9544770979914208,6357,no,1558
witch,колдовской,7,0.6298604257904249,0.0922175450490657,0.8722886602649665,6545,no,52971
malcolm,алан,9,0.6302198712766302,0.0800600468512174,0.8872838090900284,6383,no,1247
investigations,расследованиях,4,0.6929169943079707,0.041635498663755,0.943318552367424,6571,no,124155
jake,джоша,8,0.6584788839449611,0.0539637184182844,0.924255345989584,6355,no,4328
unified,единый,2,0.5490913396696948,0.0301465350004315,0.9479548276818054,6568,no,78099
compatible,совместимый,3,0.7646222771922475,0.0241039336941639,0.969439415906979,7510,no,183911
puppet,кукольного,7,0.5282520627121182,0.1324886924071965,0.799484606662,7612,no,36505
malaysian,сингапурский,6,0.7113852958539488,0.0571661997007516,0.9256182571611652,6054,no,3459
walks,прогулку,0,0.6415932318252491,0.0,1.0,7478,no,228919
flute,флейта,1,0.7615243124197457,0.0029287829415346,0.9961687866014192,6644,yes,34151
flooding,наводнением,5,0.748927464271897,0.0697481037366875,0.9148037312187676,7271,no,88829
willie,джерри,0,0.6892097894349314,0.0,1.0,6589,no,1672
everybody,говоришь,2,0.6070550542748652,0.041049210495357,0.9366626440733103,6339,no,424749
governorate,мухафаз,0,0.5924187377676637,0.0,1.0,7034,no,1514
rivalry,соперничестве,2,0.7445039822239718,0.0344425973371065,0.955783107287647,6654,no,40461
southampton,саутгемптона,2,0.7635116976420087,0.0289187480790863,0.9635062632496776,7235,no,1535
mediation,посредничеством,5,0.7048216795104617,0.0534536032335696,0.9295063356936378,6164,no,66004
crazy,безумная,5,0.5798140444375358,0.0468029297755646,0.9253085509942668,5839,no,425394
investigate,расследовал,5,0.6665307871886221,0.1244594949731792,0.8426535726418439,5966,no,241373
commitment,заинтересованность,4,0.6372507391184683,0.0306660854166321,0.9540869696792303,6253,no,605347
mandatory,обязательных,6,0.5866196961785866,0.0563523084374898,0.9123565131406642,6967,yes,155901
prussian,прусских,2,0.7359855753416781,0.0121594892304454,0.983747150377314,7161,no,208
tibetan,тибетская,5,0.7740344408421285,0.0472643566006248,0.9424516914577372,7575,no,2275
slavery,работорговлю,8,0.6274162878694812,0.1881305806811818,0.7693197191529713,5903,no,92619
paradise,раю,3,0.5162654699822671,0.05765681893585,0.8995389793197662,6542,no,88552
churchill,рузвельту,9,0.5813372831793175,0.1898756835999364,0.7537960436623662,6945,no,2825
richards,кларк,9,0.6448923786845698,0.0701500853001076,0.901893819131823,6769,no,1736
colombian,колумбийские,8,0.7531033202827286,0.0216085772855693,0.9721075959290216,7260,no,700
comparable,сравнимые,8,0.709173502104589,0.0300350963333529,0.9593685782378322,6104,no,176111
cannon,ружейный,8,0.6072323801627169,0.0681560720777989,0.8990861157727826,6058,no,31463
concerto,оркестром,7,0.6983793619403743,0.0270258479130053,0.9627437912687892,6778,no,7740
canterbury,кентерберийской,3,0.7027277843654696,0.0301116008869367,0.9589110499614242,5941,no,987
sequences,последовательностей,1,0.6811000409719017,0.0255386792591185,0.9638589302737766,7143,no,77851
bike,велосипедах,5,0.6634544353705509,0.0272984104404451,0.9604802056104528,7002,no,539581
rescued,спасшиеся,6,0.6919764781486093,0.0747760905731309,0.9024768959068624,6011,no,59230
philosophers,натурфилософы,4,0.7636299854026971,0.0826179515207323,0.9023714588645338,7075,no,39041
arrow,молнию,8,0.4874058937584327,0.1416329820306496,0.7748422434893525,7025,no,80144
furniture,мебели,1,0.8230764959244634,0.0259685904810345,0.9694143563200224,6683,no,569320
lecturer,доцентом,6,0.6833710614879335,0.0649268801453272,0.9132339185597445,6691,no,41066
brook,милл,7,0.4723736227770807,0.0276945995470686,0.9446183574346048,6344,no,13744
sculptor,скульптору,2,0.738101154003286,0.0892017279216115,0.8921776656766086,6117,no,19123
nights,ночей»,6,0.5917795087711959,0.1102438987533275,0.8429626454450146,5830,no,312353
circles,кругов,2,0.5889791929134632,0.0309255800589728,0.9501123698230536,6583,no,160387
constructive,неконструктивный,1,0.7061757893044157,0.0290981942015071,0.9604253722363988,7500,no,84098
revolt,мятеж,3,0.7451879506390371,0.057622499187941,0.92822402947002,6820,yes,34363
export,экспортом,8,0.7824060569383475,0.04960500386641,0.9403793937325424,6445,no,205304
olive,оливковые,5,0.6214858736533758,0.0562152189420123,0.9170501279159442,7508,no,135911
rhodes,ричардс,7,0.4723154668246152,0.0168453642233787,0.965562728750606,7152,no,1372
bradford,хаддерсфилд,8,0.6590747450078902,0.0155438111973508,0.9769591111089718,5908,no,1445
rosa,долорес,3,0.5614555139014507,0.0199387254436141,0.9657053267915504,6641,no,8319
supplement,ежемесячных,3,0.5427037887530943,0.0377069791371449,0.9350339772740474,6488,no,303802
trumpet,струнные,5,0.6633267794569657,0.0290892448829951,0.9579887757353333,6848,no,34393
variables,переменной,3,0.7316359861919313,0.0544061343441985,0.930784708703536,7276,no,170150
wrestler,рестлера,9,0.607081007592907,0.0714879818122991,0.894648911269934,6122,no,16374
prof,профессора,2,0.6062316427276785,0.0580124040511628,0.912664021104162,6959,no,7257
maxwell,фаулер,8,0.5598358064917216,0.1334706471144818,0.8074867954564102,7247,no,916
terrain,ландшафт,5,0.6168115859914423,0.0568681720592882,0.9155857491936014,7203,no,123228
hearts,сердца,5,0.5203538812999404,0.0921810692593803,0.8495088824315943,6230,yes,273272
montenegro,сербия,2,0.7947131997793313,0.0296888339603396,0.963987432411266,7267,no,356
delegates,конгресс,9,0.6330350328074807,0.1952649146504224,0.7642582071268978,6771,no,98685
leon,феликс,5,0.4822766374604667,0.1013993142272165,0.8262746410332255,5909,no,2590
libya,судан,5,0.7348003932991419,0.1036144146848566,0.8764162873816582,7597,no,1274
implies,предположении,8,0.6568183174583277,0.0724678181107808,0.9006318445170638,6396,no,173901
henri,пьер,9,0.6659553287094938,0.0972353183715507,0.872593671393322,5858,no,666
chambers,коридоров,2,0.4306886859529097,0.0317659286996986,0.931310170353558,6295,no,54131
teeth,челюстью,6,0.6396866377294993,0.0950633082499832,0.8706181487046508,6095,no,571089
