et,sk,position,score,rel_score,ratio_score,index,freqs,correctness,note
ohver,násilník,4.0,0.7332285013806856,0.03253174631364,0.95751706044863,10861.0,186708.0,no,meaning
minister,poslanec,9.0,0.7343714666096147,0.1633934143615799,0.817999770513609,1342.0,305397.0,no,meaning
lõplik,konečný,6.0,0.6333259223205866,0.1179493838094497,0.8430011171044212,6906.0,122888.0,yes,1
neli,sedem,5.0,0.7954349332193864,0.0204693599538299,0.9749120575475582,605.0,863991.0,no,meaning
ammu,vôbec,5.0,0.630208900675655,0.2435746042894822,0.721241471250707,991.0,270403.0,no,meaning
paiknema,umiestnená,3.0,0.7055342406591407,0.0374957239594582,0.9495367269895972,39885.0,116486.0,no,pos_tag
mahtuma,vojde,9.0,0.5881706603222541,0.1069632837455152,0.8461256500875358,27540.0,213662.0,yes,near_equivalent
Kalad,Škorpióna,8.0,0.5889956968648568,0.167434287387799,0.7786519692854029,39667.0,4.0,no,meaning
vms,napr,2.0,0.702626820299308,0.0313067472130967,0.9573438951440688,1552.0,230297.0,no,shortcut
järgmine,štvrtá,7.0,0.59463815198418,0.1320792393353931,0.8182522657183645,1080.0,1661707.0,no,meaning
võimalik,môžete,9.0,0.6360017401585196,0.2179836225003764,0.7447454815599167,135.0,2337813.0,no,meaning
ujumisriided,plavky,1.0,0.7383162675990311,0.011930575016535,0.9840978004319996,132856.0,0.0,yes,1
kontoritarbed,kancelárske,0.0,0.7345264011320988,0.0,1.0,300027.0,0.0,yes,2nd_word_needed
kiire,bezproblémové,6.0,0.6463178832123058,0.1213983888651246,0.8418707623108962,954.0,532068.0,no,meaning
enda,svojeho,5.0,0.5934736172628929,0.0898398433469973,0.8685232349047962,163.0,72.0,yes,not_basic_form
tüüp,typ,0.0,0.6769799613703432,0.0,1.0,4986.0,374774.0,yes,1
põhjendama,požadovať,9.0,0.6667337768998682,0.0799746602570345,0.892897071631414,30840.0,121083.0,no,meaning
hetk,okamžik,2.0,0.7513381598795114,0.0696226725624836,0.9151936733018224,2329.0,1585458.0,yes,1
raadio,Rádio,9.0,0.6903013468312515,0.1668172995095216,0.8053743198544319,5077.0,148117.0,yes,1
lõplik,predpokladaná,7.0,0.6282447203103132,0.1230305858197231,0.8362376816915794,6906.0,122888.0,no,meaning
nemad,iní,4.0,0.7559766118815945,0.0925166269284741,0.8909636250511318,1309.0,0.0,no,meaning
matused,úmrtie,8.0,0.6245561096313017,0.116600808584709,0.8426772985329868,39007.0,0.0,no,meaning
kontoritarbed,notebooky,1.0,0.7235828365696135,0.0109435645624852,0.985101196436754,300027.0,0.0,no,meaning
demokraatia,demokratickej,7.0,0.7906339464037291,0.133709647725823,0.8553463792306188,3374.0,110824.0,no,pos_tag
hetk,okamih,0.0,0.820960832441995,0.0,1.0,2329.0,1585458.0,yes,1
eeldama,posudzovať,0.0,0.6660109594734773,0.0,1.0,70948.0,262727.0,no,meaning
elama,žiť,1.0,0.7321149051902867,0.0374730715131832,0.9513076183002506,1542.0,1552401.0,yes,1
dressid,tepláky,0.0,0.7578068274218572,0.0,1.0,76903.0,0.0,no,meaning
lõplik,prípadná,5.0,0.6374641239462082,0.1138111821838281,0.8485093530225405,6906.0,122888.0,no,meaning
õde,vnučka,9.0,0.7510539143945393,0.1104422773554959,0.8718017811185624,3199.0,229863.0,no,meaning
põlema,horiace,8.0,0.6509410756079652,0.1163925409350867,0.848315597771603,4615.0,187965.0,no,pos_tag
sülle,pritúliť,5.0,0.6668893421296308,0.0999297206624151,0.8696827902288142,8490.0,5.0,no,meaning
miski,nijaká,2.0,0.6390271382026419,0.0135434454849083,0.97924600675627,1625.0,3791215.0,no,meaning
lastevanemad,Pedagógovia,8.0,0.7316577629063901,0.0829111925184705,0.8982146422763854,86554.0,0.0,no,meaning
põhimõte,Zásada,4.0,0.7000749669098427,0.1330797432136388,0.8402700703763469,5337.0,347800.0,yes,1
kalad,krevetky,1.0,0.7825350725091822,0.0026785572482335,0.9965887534974897,8778.0,0.0,no,meaning
tegelema,Zaoberám,9.0,0.6266349692419131,0.2183058725009122,0.7416317667274533,2658.0,817278.0,yes,not_basic_form
selge,zrejmé,5.0,0.6386921013867161,0.0915520485200694,0.874628165755582,643.0,764054.0,yes,near_equivalent
vahendusel,zaslaním,8.0,0.5851793096833866,0.1891210286207776,0.7557523621454415,2371.0,0.0,no,meaning
lastevanemad,školopovinné,5.0,0.7360797784059847,0.0784891770188759,0.9036432993227224,86554.0,0.0,no,meaning
