en,nl,position,score,rel_score,ratio_score,index,correctness,freqs
construct,geconstrueerde,4,0.6183011170887837,0.1127210903819234,0.845803466392722,6781,no,164107
panels,plafonds,2,0.6446131963344699,0.1652937226731126,0.7959102227751618,7310,no,276890
classics,classics,2,0.626487406133741,0.0550631865816581,0.9192089521010052,6695,no,65564
prevented,verhinderen,3,0.7502245180716915,0.0505168838948876,0.9369123617552174,6471,no,127603
payment,uitbetaalde,8,0.7472829427607593,0.1002441669373582,0.8817215805957352,5787,no,1083253
consistently,daarentegen,0,0.6064013129094571,0.0,1.0,6443,no,287966
portraits,schilderijen,4,0.7957265910182592,0.110755843413959,0.8778179927078986,6730,no,59414
demonstration,demonstratie,0,0.8328733503708579,0.0,1.0,7073,yes,153964
searches,zoekacties,0,0.7050967600101317,0.0,1.0,6719,no,155715
loaded,inladen,7,0.6342744331689515,0.0946257197966634,0.8701801345332859,7136,no,224915
handled,gehandeld,2,0.6019308293631096,0.0274099142864008,0.9564466236089336,5948,no,209643
patrolling,patrouilleerden,3,0.5720450030738858,0.1025270799420569,0.8480116765525356,6501,no,12092
repeat,herhalend,7,0.5859815293072106,0.1670432160244446,0.7781703495668344,5953,no,257943
jake,mike,3,0.674456910537885,0.0643642169193982,0.9128825441945424,6355,no,4328
logan,summerfield,2,0.6015744724632115,0.0898891546156225,0.870001615276035,6984,no,2176
prevented,belemmerde,6,0.7060192275938889,0.0947221743726902,0.8817069104456725,6471,no,127603
mutual,vriendschap,9,0.543246599904379,0.1967055440529661,0.7341645055571252,5843,no,224155
canterbury,albans,6,0.5888865198266585,0.1676726367189195,0.778374717603701,5941,no,987
lifestyle,leefwijze,5,0.5631611831753482,0.2123634960144189,0.7261679715514835,7130,yes,514124
introduce,introduceren,0,0.8133958091790014,0.0,1.0,6651,yes,298951
patron,beschermheerschap,4,0.6492299583228891,0.0918852134476411,0.8760176326870672,6490,no,47895
explaining,begrijpen,2,0.7248668026827967,0.0385570818578613,0.9494945303144916,5973,no,169624
advocacy,belangenorganisaties,1,0.6577562016423323,0.0274708497644071,0.9599098580419282,6845,no,121322
outline,gedetailleerd,3,0.559956988862168,0.0099994724721068,0.9824557257431594,6863,no,145869
dollar,$,5,0.6083633800331695,0.1640554356038696,0.7876081831738294,5676,no,441398
