et,sk,position,score,rel_score,ratio_score,index,freqs,correctness,note
küll,pravdaže,8.0,0.7917748664390214,0.0548532775976582,0.9352097163506512,81.0,2924749.0,yes,near_equivalent
koht,stupienok,7.0,0.5532621099100744,0.1771786990719911,0.7574359251382662,470.0,2726920.0,no,meaning
kilo,gramov,1.0,0.8180510049778784,0.0044027031389006,0.9946468681514224,3095.0,106652.0,no,meaning
selts,združenie,2.0,0.7078789167726489,0.0364509661607528,0.9510284794463716,13880.0,185095.0,yes,near_equivalent
olud,terény,5.0,0.6556501108478467,0.0737057174379152,0.8989440893189966,17371.0,0.0,no,meaning
näitleja,Tarantino,8.0,0.7428668130459699,0.0988773520945822,0.8825327739835631,3168.0,214001.0,no,meaning
ohver,vinník,5.0,0.7223020701134122,0.0716251829112527,0.9097836953721156,10861.0,186708.0,no,meaning
püksid,rifle,0.0,0.8226820733279032,0.0,1.0,7469.0,0.0,yes,near_equivalent
enese,sebaúcty,9.0,0.6963248528030611,0.0910679013221732,0.8843424696950044,2840.0,0.0,no,meaning
süles,prebaliť,6.0,0.7338817078682792,0.0548278094605941,0.9304841538539058,10366.0,0.0,no,meaning
märkmed,dokumenty,3.0,0.7128736654010894,0.0886564988946558,0.8893909389267305,46834.0,0.0,no,meaning
hetk,nachvíľu,8.0,0.696539629568523,0.1458357887387783,0.8268755407988687,2329.0,1585458.0,yes,near_equivalent
sülle,náručí,8.0,0.66282491859993,0.108694072089778,0.8591167898633192,8490.0,5.0,no,meaning
enese,cítenia,7.0,0.7002129303077131,0.0871798238175212,0.8892803834417108,2840.0,0.0,no,meaning
kanal,stream,4.0,0.6281008949923044,0.1708781377632293,0.7861293841793299,10609.0,195056.0,no,meaning
samuti,i,7.0,0.7838698973675111,0.0844225548511663,0.9027717508824956,190.0,1933240.0,no,meaning
kalad,živočíchy,9.0,0.7262990225654424,0.0423441006826095,0.9449105841164932,8778.0,0.0,no,meaning
põlema,horiace,4.0,0.6724939349562251,0.0732038401263384,0.9018317573520542,4615.0,187965.0,no,pos_tag
minister,minister,0.0,0.8810012322262863,0.0,1.0,1342.0,305397.0,yes,1
elama,emigrovať,5.0,0.6404894540190567,0.1218813015803388,0.8401285717150672,1542.0,1552401.0,no,meaning
madalale,nízko,2.0,0.6621277471683916,0.0428074197788271,0.9392746712237264,17153.0,26.0,yes,not_basic_form
meenutama,spomínať,1.0,0.7411304509848435,0.0280121254747376,0.9635800613149262,17352.0,397439.0,yes,near_equivalent
elama,presťahovať,3.0,0.6602219304764829,0.1021488251229125,0.8660116165623372,1542.0,1552401.0,no,meaning
õnnelik,štastný,1.0,0.8108295136650041,0.0855245077540539,0.9045862396883584,2381.0,251656.0,yes,1
nemad,niektorí,9.0,0.769337951730516,0.1323225748566262,0.8532456828763727,1309.0,0.0,no,meaning
Kalad,Ryby,0.0,0.7491299107285103,0.0,1.0,39667.0,4.0,yes,1
vangist,väznici,3.0,0.6734379145644929,0.0352898832703665,0.9502067177579656,68059.0,0.0,yes,not_basic_form
nõu,poradiť,0.0,0.7006485052128993,0.0,1.0,1498.0,282856.0,no,pos_tag
pidu,afterparty,8.0,0.7100888411886987,0.0639427470779816,0.9173900031377644,3266.0,237563.0,yes,near_equivalent
jälgima,vyhodnocovať,9.0,0.6393342056462368,0.0799151179095629,0.8888909376869742,6357.0,463215.0,no,meaning
