en,ru,position,score,rel_score,ratio_score,index,correctness,freqs
warrior,воинственный,7,0.583760861653223,0.1630255139312794,0.7816972573934803,5815,no,67574
seeks,решает,9,0.6960706536548003,0.0773720496714091,0.8999640835207718,7499,no,185995
sailed,эскадрой,5,0.7081044532232503,0.1150464593295395,0.8602364917840489,5927,no,39406
rosa,мария,4,0.5533850900994057,0.0338234918549318,0.9423995273666452,6641,no,8319
deer,диких,4,0.6272304770042573,0.030653570266823,0.9534058161252356,6408,no,121198
excessive,чрезмерным,5,0.787011934753703,0.0380369707099338,0.9538973138949152,6738,no,283241
complaint,обвинение,7,0.6781287423335915,0.0637353182278728,0.9140876049722154,5962,no,242782
bruno,алессандро,8,0.5878524780686574,0.1442394373764886,0.8029763280628713,6941,no,2193
shots,выстрелом,6,0.580584067881408,0.0670109342234931,0.8965233919259953,5961,no,354211
willie,денис,4,0.5992970377891663,0.0762225927300404,0.8871645037591943,6589,no,1672
announcement,объявление,0,0.6572000365960622,0.0,1.0,6279,yes,257805
refuses,пытается,5,0.8120925455674568,0.0767783992353067,0.913622557150472,6283,no,76521
krishna,кришне,9,0.4902107644369144,0.0605478583774325,0.8900646201996143,7290,no,1821
andrews,николая,1,0.5879069442779077,0.0059961594897604,0.9899038084634996,5931,no,1368
observations,наблюдаемые,7,0.6545567476041907,0.1608729503626291,0.8027138933451315,6317,no,156403
rainbow,голубых,6,0.5039411316984905,0.0915325466132004,0.8462861584869429,7159,no,52785
loading,выгрузка,2,0.6762785070025534,0.0428532346240353,0.940409757846168,7391,no,130271
mann,германа,0,0.5684755746727055,0.0,1.0,7270,no,1975
kilometres,километров,0,0.8104052635420668,0.0,1.0,7051,yes,58331
autobiography,автобиографией,2,0.7966660594314616,0.0135870818274796,0.983231065532966,6609,no,24649
reds,спартаку»,7,0.594174552136119,0.0865375145209654,0.872872072114215,7351,no,26089
portions,части,0,0.6651301088959387,0.0,1.0,6006,no,142431
finger,ногой,9,0.6040775234972331,0.0818612739830502,0.8806580495464638,7402,no,268337
deposits,месторождений,9,0.68599227717444,0.065770929240328,0.9125111089780572,7605,no,154243
intense,сильной,8,0.6108814032733354,0.0888328106912428,0.8730441530008138,6251,no,322515
nat,р,5,0.296405513642134,0.0515106152818521,0.8519453080799644,6893,no,6165
invitation,приглашения,2,0.7494295964546217,0.0602328083466265,0.9256075025968236,7080,no,154220
