en,ru,position,score,rel_score,ratio_score,index,correctness,freqs
edwin,гарольд,1,0.5915057397339655,0.0137434350203281,0.9772929305919212,6612,no,1085
algeria,ливии,5,0.6810028328192833,0.1030963080190927,0.8685162339179967,6135,no,578
recall,припомнить,1,0.5736070897596953,0.0141068833460614,0.9759970257785192,5813,no,275207
sixty,семьдесят,7,0.6996867704994487,0.0728129849199896,0.9057436789990244,7437,no,73456
proven,доказанных,7,0.5984466372502051,0.0531629856222821,0.9184128291600052,5976,no,487133
icon,иконок,3,0.5028877852288837,0.0584085828961579,0.8959398524325637,6724,no,180199
harmony,гармони,2,0.6100939721196796,0.0788357303141524,0.8855678162290815,6803,no,132933
nominating,кисп,7,0.6121159420917593,0.0747923785284908,0.8911173787195409,6816,no,12296
forget,забудь,0,0.6159546222038268,0.0,1.0,6395,yes,726877
fights,драться,6,0.5619068736045912,0.0653442932117186,0.8958243576598166,6827,no,104969
rainfall,снегопады,2,0.6812764382440482,0.0711983070079642,0.905381134108203,7281,no,54676
pablo,хосе,1,0.640471008982145,0.1074678501785775,0.8563146587955472,7466,no,1621
recalled,сказался,9,0.5503843040461283,0.1257921714182998,0.8139654720583112,6586,no,87805
nigerian,ганы,7,0.5013411066008078,0.1318835205201654,0.7917271140893736,6051,no,2582
newfoundland,манитобы,9,0.5475276856863068,0.1333889882408957,0.8041038010252096,6102,no,1983
fraud,вымогательстве,8,0.6158359008994906,0.1256720999224013,0.8305182145262011,6477,no,275541
madonna,madonna,6,0.5679692264829247,0.1277595314502727,0.8163658897329353,7327,no,3155
lynn,гарретт,9,0.544054003442501,0.0543356353971943,0.9091968980235794,6368,no,2685
henderson,брауна,5,0.6034375900795879,0.0546250153738906,0.9169911571920304,6199,no,7086
cruiser,крейсерами,8,0.7012946990260795,0.0598034415391446,0.921424796157389,7545,no,19674
naturally,биологически,1,0.5296689688579387,0.0051979196835594,0.990281844333768,6112,no,438055
afternoon,ночью,7,0.6058550007695409,0.1116800678752913,0.8443559447397948,5811,no,532017
belarus,беларуси,2,0.7332561299550948,0.0651350145542637,0.9184171630632356,7204,no,371
roller,роликовых,5,0.4337674826259996,0.0322095343170686,0.9308774185294124,6856,no,79654
