en,ru,position,score,rel_score,ratio_score,index,correctness,freqs
mentioning,упоминаниях,3,0.7404629050295171,0.0240697211686038,0.9685170778279298,7488,no,77986
complaints,жалобу,4,0.6561628266492854,0.1474466761746007,0.8165194965260208,6086,no,241048
nationwide,общенационального,8,0.6140865368441802,0.0469873094520295,0.9289227524046144,6297,no,172153
excess,избыток,0,0.712513455901525,0.0,1.0,7189,yes,447522
imo,думаю,8,0.6552037405136499,0.097008515591671,0.8710357152461919,7140,no,8686
bet,монетку,1,0.4235150975530225,0.0159607227144024,0.9636823643569512,6970,no,398333
wore,одевали,3,0.7208796473805729,0.0197531226015356,0.9733293969668492,6932,no,155002
nearest,расстоянию,6,0.5860704600557824,0.0810163080347846,0.8785520686211761,5898,no,135918
madonna,мадонна,1,0.7995973996114087,0.0085679105124308,0.9893983193721616,7327,yes,3155
inventor,изобрёл,4,0.7139826380687713,0.1678481017699403,0.8096595024566279,6975,no,40147
followers,сподвижниками,7,0.6714161938244942,0.1168979715353679,0.8517114411079947,6305,no,209040
civilians,раненых,7,0.6897890522313772,0.0636407273627397,0.9155319724725722,6285,no,102687
trace,проследить,1,0.5479378849210776,0.061901148805729,0.8984959220674299,6900,no,137102
marshal,главнокомандующий,2,0.6681263845944572,0.0512141235389334,0.9288040601636236,6032,no,11641
wrestler,боксер,3,0.6796031468079338,0.0315142321047245,0.955683501712598,6122,no,16374
bombardment,бомбардировке,1,0.748279702119668,0.0129814067455737,0.9829474977844012,7190,no,12490
planes,самолетам,9,0.6944381311147971,0.0612844740346701,0.9189061255848642,7249,no,109896
jake,джесси,0,0.7457418466247707,0.0,1.0,6355,no,4328
posters,афиш,9,0.62672669887801,0.1516617796080088,0.8051592696965478,7352,no,136915
sofia,пловдиве,7,0.5355359140071254,0.1012825859303516,0.8409553335207824,6673,no,1029
surfaces,поверхности,5,0.7929919122354472,0.0582549949334212,0.9315651023894236,7323,yes,177010
depot,складов,1,0.6013145903453968,0.0836632680676853,0.8778598942431342,6009,no,32021
receptor,рецепторами,5,0.8084972024225474,0.0241484646932127,0.97099790985899,7511,no,46748
lon,джин,6,0.3943300995405387,0.1293393802973022,0.7530133313529112,6467,no,4702
researcher,исследователя,8,0.6764797906165902,0.0806503958748676,0.8934788266089327,7069,no,108541
sin,sin,4,0.4775160765469149,0.0286896756026173,0.9433240821922892,6039,no,308951
dear,прости,7,0.5735730520151603,0.0406530569306136,0.9338141828578592,6854,no,208756
lightning,молнии,0,0.6752517224859338,0.0,1.0,6446,yes,78180
ethics,этического,3,0.7232192464547982,0.0437953403955522,0.9429015547469674,6008,no,152610
archaeology,археологией,3,0.7871567155500725,0.097031413135444,0.8902593124839887,6884,no,23743
burke,уорд,3,0.673726440754664,0.0053553294213591,0.9921138666114228,6582,no,1716
